COMID:,5781345
LENGTH:,41105.644359999998
PROFILE:,13.4449343
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,9.8900000000000006,11.94,12.52,13.779999999999999
PROFILE:,14.24219435
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,9.9000000000000004,11.9,12.57,14.06
PROFILE:,15.57757426
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,10.85,13.02,13.779999999999999,15.44
PROFILE:,15.73944979
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,8.8100000000000005,13.630000000000001,13.970000000000001,14.779999999999999
PROFILE:,16.03447268
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,12.17,14.94,15.31,17.239999999999998
PROFILE:,16.08362837
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,11.9,14.359999999999999,14.59,16.260000000000002
PROFILE:,16.613233780000002
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,12.69,15.91,16.73,18.949999999999999
PROFILE:,16.66677241
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,11.66,15.02,15.93,18.190000000000001
PROFILE:,16.91539744
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,11.859999999999999,15.56,16.66,20.149999999999999
PROFILE:,17.13454411
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,10.56,14.18,15.24,18.670000000000002
PROFILE:,17.894834469999999
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,10.27,13.220000000000001,14.25,17.620000000000001
PROFILE:,18.861419309999999
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,9.0399999999999991,11.039999999999999,11.720000000000001,14.02
PROFILE:,19.94791644
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,10.970000000000001,13.19,13.93,15.279999999999999
PROFILE:,21.135885900000002
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,13.859999999999999,16.5,17.41,19.25
PROFILE:,22.366095489999999
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,8.5199999999999996,11.59,12.619999999999999,14.59
PROFILE:,23.418258569999999
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,10.25,12.84,13.779999999999999,15.44
PROFILE:,24.685722680000001
DISCHARGE:
0.0,4950.0,9670.0,11760.0,17090.0
STAGE:
0.0,9.6400000000000006,12.0,12.74,14.32
PROFILE:,24.867156680000001
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.5399999999999991,11.050000000000001,11.85,13.710000000000001
PROFILE:,25.172000300000001
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.7400000000000002,10.51,12.08,15.84
PROFILE:,25.449492769999999
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,7.6900000000000004,9.8000000000000007,11.33,14.970000000000001
PROFILE:,27.14201521
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,6.7400000000000002,9.1899999999999995,9.9199999999999999,12.25
PROFILE:,28.26632914
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.3100000000000005,10.58,11.51,12.83
PROFILE:,29.38784373
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.9299999999999997,11.449999999999999,12.34,14.16
PROFILE:,30.598034049999999
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.3300000000000001,10.44,11.210000000000001,12.890000000000001
PROFILE:,31.883847129999999
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.7599999999999998,10.66,11.32,12.73
PROFILE:,32.918883530000002
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,7.6500000000000004,9.5999999999999996,10.26,11.68
PROFILE:,34.400823780000003
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,9.3200000000000003,10.960000000000001,11.529999999999999,12.529999999999999
PROFILE:,35.659291500000002
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,9.6199999999999992,11.66,12.34,13.69
PROFILE:,36.651476500000001
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,10.52,12.5,13.16,14.609999999999999
PROFILE:,37.867124410000002
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,6.75,8.1799999999999997,8.75,10.02
PROFILE:,38.832281549999998
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,7.1200000000000001,8.7100000000000009,9.2200000000000006,10.279999999999999
PROFILE:,40.216154619999998
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,7.3499999999999996,8.4600000000000009,8.8300000000000001,9.6400000000000006
PROFILE:,41.29725354
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.9199999999999999,9.7300000000000004,10.08,10.77
PROFILE:,41.517682370000003
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.3900000000000006,9.4399999999999995,9.8300000000000001,10.52
PROFILE:,41.683797599999998
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,7.5999999999999996,8.6999999999999993,9.1099999999999994,9.9100000000000001
PROFILE:,42.039240939999999
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.6600000000000001,9.8200000000000003,10.24,11.029999999999999
PROFILE:,43.395571769999997
DISCHARGE:
0.0,4790.0,9320.0,11430.0,16630.0
STAGE:
0.0,8.6199999999999992,10.390000000000001,10.970000000000001,12.119999999999999
PROFILE:,43.88417347
DISCHARGE:
0.0,4650.0,9070.0,11020.0,15980.0
STAGE:
0.0,9.3900000000000006,11.15,11.73,12.9
PROFILE:,44.42110297
DISCHARGE:
0.0,4650.0,9070.0,11020.0,15980.0
STAGE:
0.0,9.2799999999999994,12.07,12.470000000000001,13.57
PROFILE:,44.499293559999998
DISCHARGE:
0.0,4650.0,9070.0,11020.0,15980.0
STAGE:
0.0,9.25,11.94,12.369999999999999,13.51
PROFILE:,45.04002268
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,7.21,8.4600000000000009,8.9199999999999999,9.9900000000000002
PROFILE:,45.811960059999997
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,9.5899999999999999,10.970000000000001,11.380000000000001,12.31
PROFILE:,46.81707686
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,11.640000000000001,12.85,13.23,14.06
PROFILE:,48.235488869999998
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,11.31,14.42,15.130000000000001,16.43
PROFILE:,49.858719819999997
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,10.460000000000001,12.77,13.51,14.720000000000001
PROFILE:,50.901401989999997
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,10.800000000000001,13.119999999999999,13.75,14.890000000000001
PROFILE:,52.198361749999997
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,13.210000000000001,14.19,15.029999999999999,15.970000000000001
PROFILE:,52.490826480000003
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,13.82,16.140000000000001,16.579999999999998,17.620000000000001
PROFILE:,52.672221839999999
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,8.7599999999999998,10.81,11.09,11.869999999999999
PROFILE:,52.92068682
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,8.1400000000000006,9.4800000000000004,9.7799999999999994,11.289999999999999
PROFILE:,54.637468470000002
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,9.4299999999999997,11.220000000000001,11.66,12.73
PROFILE:,55.581796240000003
DISCHARGE:
0.0,4330.0,8270.0,9940.0,14240.0
STAGE:
0.0,9.1899999999999995,11.720000000000001,12.44,13.859999999999999
PROFILE:,56.825468100000002
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,9.4900000000000002,12.289999999999999,13.050000000000001,14.57
PROFILE:,57.622488019999999
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,7.1900000000000004,8.5500000000000007,9.0299999999999994,10.029999999999999
PROFILE:,59.066839559999998
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.2300000000000004,9.3499999999999996,9.7100000000000009,10.44
PROFILE:,59.295220139999998
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.4800000000000004,9.7300000000000004,10.1,10.81
PROFILE:,59.480157159999997
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,7.3700000000000001,8.5500000000000007,8.9700000000000006,9.6699999999999999
PROFILE:,59.647741689999997
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.6799999999999997,9.8300000000000001,10.17,10.92
PROFILE:,59.752120150000003
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,7.1900000000000004,8.0299999999999994,8.4399999999999995,9.3000000000000007
PROFILE:,60.393137320000001
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,9.3800000000000008,10.779999999999999,11.119999999999999,11.85
PROFILE:,60.538494739999997
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.2100000000000009,7.8700000000000001,8.9900000000000002,9.8499999999999996
PROFILE:,61.128354000000002
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.0999999999999996,10.029999999999999,10.289999999999999,11.17
PROFILE:,62.483563910000001
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,7.7699999999999996,9.0800000000000001,9.6300000000000008,10.56
PROFILE:,62.787775860000004
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.3599999999999994,10.140000000000001,10.74,11.9
PROFILE:,63.027091980000002
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,9.5099999999999998,11.34,11.970000000000001,12.73
PROFILE:,63.372458029999997
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,8.4900000000000002,10.33,10.960000000000001,11.77
PROFILE:,64.669173330000007
DISCHARGE:
0.0,2870.0,5280.0,6280.0,8790.0
STAGE:
0.0,10.42,12.69,13.460000000000001,15.19
PROFILE:,68.469879489999997
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,9.4199999999999999,11.34,12.0,14.57
PROFILE:,69.821981519999994
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,9.4299999999999997,11.529999999999999,12.25,14.69
PROFILE:,70.116866610000002
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,6.1500000000000004,8.1500000000000004,8.8599999999999994,11.23
PROFILE:,70.165167319999995
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.6600000000000001,8.1400000000000006,8.2100000000000009,8.9800000000000004
PROFILE:,70.173184890000002
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.2300000000000004,8.6999999999999993,8.8200000000000003,9.1899999999999995
PROFILE:,70.255633079999996
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,10.92,11.279999999999999,11.4,11.800000000000001
PROFILE:,70.730547549999997
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,11.09,11.4,11.49,11.550000000000001
PROFILE:,72.012722530000005
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,6.6399999999999997,9.5399999999999991,10.16,12.18
PROFILE:,72.172402500000004
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,9.3399999999999999,9.6899999999999995,9.8200000000000003,11.94
PROFILE:,72.322582100000005
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,12.27,13.119999999999999,13.56,14.789999999999999
PROFILE:,72.462117899999996
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,12.83,13.15,13.300000000000001,13.99
PROFILE:,72.911454019999994
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.0599999999999996,7.5999999999999996,7.9000000000000004,9.1999999999999993
PROFILE:,73.394919790000003
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,8.7599999999999998,10.039999999999999,10.44,11.890000000000001
PROFILE:,73.544533209999997
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.5800000000000001,8.6099999999999994,8.8800000000000008,8.9000000000000004
PROFILE:,73.881375939999998
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.3300000000000001,8.7300000000000004,9.1699999999999999,11.26
PROFILE:,75.415627229999998
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,7.96,9.9100000000000001,10.390000000000001,11.609999999999999
PROFILE:,75.76209222
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,6.8799999999999999,9.5800000000000001,10.09,11.390000000000001
PROFILE:,76.046809330000002
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,10.02,12.98,13.41,14.51
PROFILE:,76.299002079999994
DISCHARGE:
0.0,2020.0,3390.0,3960.0,6640.0
STAGE:
0.0,9.7100000000000009,11.08,11.5,12.57
PROFILE:,77.382903339999999
DISCHARGE:
0.0,1720.0,2760.0,3170.0,6160.0
STAGE:
0.0,5.9199999999999999,7.0499999999999998,7.6699999999999999,9.6799999999999997
PROFILE:,78.728638680000003
DISCHARGE:
0.0,1720.0,2760.0,3170.0,6160.0
STAGE:
0.0,7.6399999999999997,8.7300000000000004,8.9399999999999995,10.43
PROFILE:,79.158674669999996
DISCHARGE:
0.0,950.0,1200.0,1300.0,3850.0
STAGE:
0.0,7.2000000000000002,8.4000000000000004,8.8200000000000003,9.7799999999999994
PROFILE:,79.554166649999999
DISCHARGE:
0.0,950.0,1200.0,1300.0,3850.0
STAGE:
0.0,14.699999999999999,21.289999999999999,23.09,25.609999999999999
PROFILE:,81.762694850000003
DISCHARGE:
0.0,950.0,1200.0,1300.0,3850.0
STAGE:
0.0,7.1200000000000001,13.51,15.300000000000001,17.030000000000001
PROFILE:,82.994593600000002
DISCHARGE:
0.0,950.0,1200.0,1300.0,3850.0
STAGE:
0.0,6.96,10.220000000000001,12.0,13.789999999999999
XSAPPROX:
DISCHARGE:
0.0,7.09242e-22,2.84534e-14,7.97632e-10,1.14143e-06,0.000319832,0.0318356,1.52265,39.1587,466.865,1979.29,4025.77,6104.85,8250.52,10534.9,12997.6,15656.9,18519.2,21585.0,24851.6,28314.8,31969.2,35809.7,39830.5,44026.4,48391.8,52921.8,57611.4,62455.8,67450.5,72591.1,77873.4,83293.6,88847.7,94532.1,100343.0,106278.0,112333.0,118506.0,124792.0,131191.0,137698.0,144311.0,151028.0,157846.0,164763.0,171778.0,178886.0,186088.0,193380.0,200761.0,208229.0,215782.0,223418.0,231136.0,238934.0,246811.0,254765.0,262794.0,270898.0,279075.0,287323.0,295641.0,304029.0,312484.0,321006.0,329594.0,338245.0,346961.0,355738.0,364577.0,373477.0,382435.0,391452.0,400527.0,409658.0,418845.0,428087.0,437383.0,446732.0,456134.0,465588.0,475093.0
STAGE:
0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0
HAND:
DISCHARGE:
0,141,482,1115,2111,3540,5455,7909,10974,14743,19300,24719,31099,38549,47189,57170,68665,81819,96673,113235,131443,151249,172746,196114,221397,248577,277854,309356,343075,378880,416818,456898,499073,543410,590057,639462,691660,746543,804060,864238,927047,992313,1059949,1130331,1203584,1279343,1357527,1438184,1521111
STAGE:
0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0
SPRNT:
DISCHARGE:
