COMID:,5781477
LENGTH:,36925.854200000002
PROFILE:,0.55456793599999998
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,13.199999999999999,21.75,25.039999999999999,30.699999999999999
PROFILE:,1.3726886979999999
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,14.18,22.620000000000001,25.829999999999998,31.18
PROFILE:,2.4190983209999999
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,15.390000000000001,23.989999999999998,27.23,32.869999999999997
PROFILE:,3.464500916
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,16.73,25.73,28.91,34.140000000000001
PROFILE:,3.800966485
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,15.869999999999999,24.879999999999999,28.149999999999999,33.600000000000001
PROFILE:,4.3055822030000002
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,15.15,24.300000000000001,27.620000000000001,33.18
PROFILE:,4.4689473130000001
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,15.210000000000001,24.289999999999999,27.600000000000001,33.140000000000001
PROFILE:,4.4772331579999998
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,15.19,24.190000000000001,27.469999999999999,32.950000000000003
PROFILE:,5.9489378559999997
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,16.699999999999999,25.600000000000001,28.84,34.329999999999998
PROFILE:,7.6763154980000001
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,17.879999999999999,26.93,30.239999999999998,35.880000000000003
PROFILE:,9.5688611849999994
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,19.010000000000002,28.309999999999999,31.739999999999998,37.619999999999997
PROFILE:,11.70702891
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,18.390000000000001,28.16,31.760000000000002,37.890000000000001
PROFILE:,12.245672020000001
DISCHARGE:
0.0,20900.0,57600.0,77700.0,121800.0
STAGE:
0.0,18.57,28.5,32.18,38.450000000000003
PROFILE:,13.09153585
DISCHARGE:
