COMID,RiverStation,XSID,ProfileM
5781313,6793,18684,18.38663699
5781313,6754,18685,18.31240991
5781313,6716,18686,18.23463836
5781313,6681,18687,18.14166713
5781313,6511,18688,17.6221521
5781313,6484,18689,17.5426918
5781313,6357,18690,0
5781313,6264,18691,16.83516792
5781313,6222,18692,16.70648666
5781313,6165,18693,16.52160082
5781313,6088,18694,16.27816309
5781313,6046,18695,16.13718376
5781313,5922,18696,15.75633598
5781313,5838,18697,15.57466639
5781313,5758,18698,15.38203241
5781313,5741,18699,15.33147511
5781313,5724,18700,15.2874182
5781313,5645,18701,15.2541724
5781313,5537,18702,14.66507414
5781313,5486,18703,14.64593954
5781313,5440,18704,14.62258687
5781313,5343,18705,14.31420729
5781313,5307,18706,14.1790466
5781313,5260,18707,13.96809258
5781313,5213,18708,13.81913306
5781313,5136,18709,13.54699246
5781313,5074,18710,13.34914945
5781313,4985,18711,13.07519066
5781313,4896,18712,12.9390996
5781313,4731,18713,12.39163568
5781313,4647,18714,12.24922788
5781313,4558,18715,11.98815629
5781313,4480,18716,11.86964198
5781313,4290,18717,11.29924251
5781313,4195,18718,11.16012334
5781313,4106,18719,10.8954363
5781313,4061,18720,10.79710356
5781313,3968,18721,10.63354083
5781313,3921,18722,10.40358305
5781313,3826,18723,10.16301364
5781313,3764,18724,9.975537601
5781313,3667,18725,9.643002616
5781313,3590,18726,9.416732426
5781313,3523,18727,9.217852002
5781313,3508,18728,9.172944269
5781313,3493,18729,9.129710138
5781313,3480,18730,9.090825771
5781313,3383,18731,8.797825091
5781313,3298,18732,8.536212458
5781313,3205,18733,8.251222014
5781313,3101,18734,7.939464263
5781313,3029,18735,7.722910931
5781313,3028,18736,7.717869528
5781313,3026,18737,7.713146526
5781313,3024,18738,7.707090164
5781313,2933,18739,7.43697576
5781313,2852,18740,7.199171024
5781313,2721,18741,6.817216441
5781313,2644,18742,6.58170432
5781313,2583,18743,6.403890206
5781313,2489,18744,6.132264562
5781313,2348,18745,5.693660953
5781313,2276,18746,5.463637666
5781313,2214,18747,5.260441391
5781313,2086,18748,4.985888344
5781313,1894,18749,4.482853867
5781313,1709,18750,3.8645259
5781313,1647,18751,3.607785849
5781313,1503,18752,3.352612657
5781313,1385,18753,2.996682745
5781313,1318,18754,2.773837675
5781313,1240,18755,2.520231801
5781313,1129,18756,2.384703966
5781313,943,18757,1.929277776
5781313,648,18758,1.069964553
5781313,464,18759,0.553885764
5781313,341,18760,0.152138956
5781313,313,18761,0.07111286
5781393,29882,16394,99.48238576
5781393,29653,16395,98.63190712
5781393,29550,16396,98.28269601
5781393,29468,16397,97.99178367
5781393,29319,16398,97.49560771
5781393,29006,16399,96.33326973
5781393,28796,16400,95.52694741
5781393,28590,16401,94.71793802
5781393,28344,16402,93.7910399
5781393,28145,16403,93.028731
5781393,27969,16404,92.44112301
5781393,27751,16405,91.75364599
5781393,27575,16406,91.13436404
5781393,27173,16407,89.63533151
5781393,26972,16408,88.84873355
5781393,26756,16409,88.17182504
5781393,26584,16410,87.54707513
5781393,26429,16411,86.9914401
5781393,26219,16412,86.25406649
5781393,26063,16413,85.676767
5781393,25894,16414,85.09027089
5781393,25688,16415,84.29814441
5781393,25418,16416,83.2906322
5781393,25129,16417,82.32487345
5781393,25034,16418,82.04926726
5781393,24989,16419,81.86180031
5781393,24866,16420,81.33055095
5781393,24549,16421,80.0862804
5781393,24366,16422,79.46727758
5781393,24037,16423,78.33856066
5781393,23775,16424,77.49042727
5781393,23459,16425,76.4767611
5781393,23307,16426,75.95910259
5781393,23133,16427,75.30712917
5781393,22941,16428,74.57932958
5781393,22884,16429,74.36318166
5781393,22815,16430,74.1034267
5781393,22740,16431,73.80952664
5781393,22608,16432,73.30807848
5781393,22461,16433,72.93978469
5781393,22321,16434,72.48892142
5781393,22085,16435,71.70480325
5781393,21929,16436,71.30253685
5781393,21893,16437,71.15304548
5781393,21799,16438,70.78705818
5781393,21704,16439,70.42155738
5781393,21446,16440,69.48278445
5781393,21276,16441,68.85601514
5781393,21070,16442,68.1418213
5781393,21001,16443,67.88268447
5781393,20984,16444,67.81847911
5781393,20910,16445,67.53518252
5781393,20705,16446,66.81582585
5781393,20332,16447,65.82852334
5781393,20060,16448,65.22139496
5781393,19725,16449,64.05404177
5781393,19481,16450,63.30620309
5781393,19121,16451,62.23646678
5781393,18812,16452,61.43539148
5781393,18661,16453,60.92161174
5781393,18307,16454,59.62667672
5781393,18044,16455,58.64294582
5781393,17860,16456,57.95285233
5781393,17672,16457,57.25454735
5781393,17305,16458,55.99128025
5781393,16998,16459,55.2017781
5781393,16787,16460,54.4167557
5781393,16560,16461,53.5961517
5781393,16447,16462,53.21058502
5781393,16380,16463,52.96392762
5781393,16182,16464,52.26850966
5781393,16036,16465,51.73654588
5781393,15901,16466,51.2318174
5781393,15769,16467,50.72537182
5781393,15715,16468,50.50881904
5781393,15647,16469,49.83329021
5781393,15548,16470,49.53733251
5781393,15374,16471,49.15443382
5781393,15202,16472,48.54778948
5781393,14799,16473,47.50135851
5781393,14479,16474,46.75635547
5781393,13978,16475,44.93877511
5781393,13875,16476,44.66312471
5781393,13739,16477,44.25809056
5781393,13596,16478,43.48884349
5781393,13347,16479,42.66099578
5781393,12987,16480,41.06129526
5781393,12621,16481,40.1104246
5781393,12497,16482,40.06103593
5781393,12318,16483,40.01238729
5781393,12148,16484,39.40807636
5781393,11994,16485,38.83799415
5781393,11878,16486,38.42697699
5781393,11733,16487,38.11828137
5781393,11609,16488,37.6405688
5781393,11572,16489,37.45074004
5781393,11503,16490,37.17937377
5781393,11461,16491,37.03259854
5781393,11322,16492,36.51446372
5781393,11171,16493,35.97114139
5781393,10786,16494,34.66350095
5781393,10584,16495,33.915135
5781393,10301,16496,32.83554938
5781393,10149,16497,32.23166444
5781393,9805,16498,30.95818315
5781393,9667,16499,30.44173419
5781393,9510,16500,29.84773492
5781393,9356,16501,29.3438269
5781393,9122,16502,28.59092218
5781393,8911,16503,28.51362427
5781393,8715,16504,28.08178329
5781393,8455,16505,27.50042559
5781393,8283,16506,27.04826306
5781393,8115,16507,26.47042843
5781393,7784,16508,25.34348108
5781393,7557,16509,24.51651206
5781393,7416,16510,23.98317405
5781393,7364,16511,23.85008685
5781393,7331,16512,23.72742164
5781393,7249,16513,23.54632591
5781393,7057,16514,23.0360679
5781393,6829,16515,22.16722812
5781393,6517,16516,21.06202553
5781393,6287,16517,20.30157207
5781393,6046,16518,19.53226168
5781393,5822,16519,18.71711069
5781393,5632,16520,18.21692598
5781393,5358,16521,17.47365902
5781393,5146,16522,16.69211654
5781393,4940,16523,16.16816838
5781393,4730,16524,15.38582516
5781393,4462,16525,14.34529762
5781393,4193,16526,13.4093572
5781393,3943,16527,12.49099496
5781393,3847,16528,12.14629931
5781393,3764,16529,11.85106012
5781393,3684,16530,11.55239394
5781393,3550,16531,11.10648981
5781393,3416,16532,10.57642348
5781393,3279,16533,10.11532475
5781393,3132,16534,9.613334587
5781393,2998,16535,9.102118665
5781393,2875,16536,8.659398137
5781393,2776,16537,8.300555143
5781393,2727,16538,8.083487563
5781393,2710,16539,8.007203489
5781393,2629,16540,7.673323627
5781393,2445,16541,7.005767086
5781393,2178,16542,6.0649179
5781393,1898,16543,5.108443226
5781393,1755,16544,5.019581365
5781393,1485,16545,4.526405209
5781393,1367,16546,4.101208681
5781393,1187,16547,3.560503356
5781393,1019,16548,3.125434804
5781393,767,16549,2.259308406
5781393,551,16550,1.574939898
5781393,320,16551,0.848211516
5781419,29923,3100,81.64757892
5781419,51185,14803,38.19145016
5781437,30742,13469,90.78494927
5781437,30665,13470,90.43714742
5781437,30604,13471,90.21220537
5781437,30561,13472,90.03604229
5781437,30492,13473,89.76436171
5781437,30384,13474,89.42495684
5781437,30090,13475,88.54939935
5781345,120,24035,56.09358343
5781345,120,24035,56.09358343
5781345,92015,24102,82.9945936
5781345,91474,24103,81.76269485
5781345,90919,24104,80.38309596
5781345,90700,24105,79.93639647
5781345,90540,24106,79.55416665
5781345,90353,24107,79.15867467
5781345,90177,24108,78.72863868
5781345,89560,24109,77.38290334
5781345,89063,24110,76.29900208
5781345,88954,24111,76.04680933
5781345,88832,24112,75.76209222
5781345,88697,24113,75.41562723
5781345,88042,24114,73.88137594
5781345,87893,24115,73.54453321
5781345,87831,24116,73.39491979
5781345,87631,24117,72.91145402
5781345,87444,24118,72.4621179
5781345,87387,24119,72.3225821
5781345,87324,24120,72.1724025
5781345,87257,24121,72.01272253
5781345,86718,24122,70.73054755
5781345,86554,24123,70.25563308
5781345,86490,24124,70.17318489
5781345,86455,24125,70.16516732
5781345,86383,24126,70.11686661
5781345,86254,24127,69.82198152
5781345,85611,24128,68.46987949
5781345,85045,24129,67.11125029
5781345,84858,24130,66.66936761
5781345,84784,24131,66.4639021
5781345,84632,24132,66.07726232
5781345,83997,24133,64.66917333
5781345,83450,24134,63.37245803
5781345,83310,24135,63.02709198
5781345,83216,24136,62.78777586
5781345,83088,24137,62.48356391
5781345,82500,24138,61.128354
5781345,82259,24139,60.53849474
5781345,82202,24140,60.39313732
5781345,81951,24141,59.75212015
5781345,81903,24142,59.64774169
5781345,81746,24143,59.48015716
5781345,81655,24144,59.29522014
5781345,81534,24145,59.06683956
5781345,80983,24146,57.62248802
5781345,80345,24147,56.8254681
5781345,79948,24148,55.58179624
5781345,79547,24149,54.63746847
5781345,79004,24150,53.41072059
5781345,78807,24151,52.92068682
5781345,78688,24152,52.67222184
5781345,78612,24153,52.49082648
5781345,78502,24154,52.19836175
5781345,77960,24155,50.90140199
5781345,77525,24156,49.85871982
5781345,76871,24157,48.23548887
5781345,76649,24158,47.72126621
5781345,76524,24159,47.43264509
5781345,76285,24160,46.81707686
5781345,75854,24161,45.81196006
5781345,75491,24162,45.04002268
5781345,75017,24163,44.49929356
5781345,74997,24164,44.42110297
5781345,74854,24165,43.88417347
5781345,74728,24166,43.39557177
5781345,74163,24167,42.03924094
5781345,74022,24168,41.6837976
5781345,73960,24169,41.51768237
5781345,73862,24170,41.29725354
5781345,73413,24171,40.21615462
5781345,72862,24172,38.83228155
5781345,72474,24173,37.86712441
5781345,71962,24174,36.6514765
5781345,71530,24175,35.6592915
5781345,71025,24176,34.40082378
5781345,70416,24177,32.91888353
5781345,69976,24178,31.88384713
5781345,69450,24179,30.59803405
5781345,68928,24180,29.38784373
5781345,68467,24181,28.26632914
5781345,68025,24182,27.14201521
5781345,67407,24183,25.44949277
5781345,67305,24184,25.1720003
5781345,67185,24185,24.86715668
5781345,67082,24186,24.68572268
5781345,66495,24187,23.41825857
5781345,66021,24188,22.36609549
5781345,65470,24189,21.1358859
5781345,64970,24190,19.94791644
5781345,64522,24191,18.86141931
5781345,64114,24192,17.89483447
5781345,63777,24193,17.13454411
5781345,63669,24194,16.91539744
5781345,63546,24195,16.66677241
5781345,63530,24196,16.61323378
5781345,63314,24197,16.08362837
5781345,63293,24198,16.03447268
5781345,63183,24199,15.73944979
5781345,63087,24200,15.57757426
5781345,62257,24201,14.24219435
5781345,61907,24202,13.4449343
5781345,59977,24207,8.823361994
5781345,59977,24414,8.822643236
5781359,7083,23895,50.90626574
5781359,6991,23896,50.0585931
5781359,6930,23897,49.48022784
5781359,6850,23898,48.65771614
5781359,6778,23899,48.5808641
5781359,6548,23900,47.06944268
5781359,6493,23901,46.56597957
5781359,6012,23902,43.1913456
5781359,5712,23903,40.83613849
5781359,5510,23904,39.6855545
5781359,5262,23905,38.63438283
5781359,5014,23906,36.56562174
5781359,4638,23907,33.41301331
5781359,4379,23908,32.16535033
5781359,4023,23909,29.62454946
5781359,3825,23910,27.90805343
5781359,3537,23911,26.66089994
5781359,3000,23912,21.90572944
5781359,2840,23913,20.4492675
5781359,2624,23914,18.68990323
5781359,2499,23915,17.25430623
5781359,2351,23916,15.84682237
5781359,2256,23917,15.29725631
5781359,2175,23918,14.37780257
5781359,2113,23919,13.9421766
5781359,2047,23920,13.28649288
5781359,1928,23921,12.52185288
5781359,1570,23922,10.46498352
5781359,969,23924,7.696325393
5781359,445,23925,3.672353941
5781359,84,23926,1.171691137
5781341,15891,23824,99.49079137
5781341,15746,23825,98.57970066
5781341,15458,23826,97.14430242
5781341,15302,23827,96.10582327
5781341,15020,23828,94.24852628
5781341,14808,23829,92.87279296
5781341,14583,23830,91.3464291
5781341,14077,23831,88.12469801
5781341,13803,23832,86.14164743
5781341,13496,23833,84.35618215
5781341,13118,23834,81.83686506
5781341,12977,23835,80.67731225
5781341,12942,23836,80.50342209
5781341,12882,23837,80.02251642
5781341,12532,23838,77.71797015
5781341,12369,23839,76.49176533
5781341,12189,23840,75.20415088
5781341,11545,23841,71.10458518
5781341,11363,23842,69.92514951
5781341,11040,23843,67.68499315
5781341,10813,23844,66.24324053
5781341,10381,23845,63.39212975
5781341,10261,23846,62.6579311
5781341,9010,23847,55.72981831
5781341,8825,23848,54.28556872
5781341,8482,23849,51.5575851
5781341,8182,23850,49.05073137
5781341,8098,23851,48.69329697
5781341,7994,23852,47.73048197
5781341,7890,23853,47.04389985
5781341,7652,23854,45.76410481
5781341,7390,23855,44.67592664
5781341,6779,23857,41.87118251
5781341,6512,23858,40.45597332
5781341,6335,23859,39.25937606
5781341,5998,23860,36.76529533
5781341,5910,23861,36.17225399
5781341,5457,23862,33.69731685
5781341,4903,23863,30.44894865
5781341,4753,23864,29.41145651
5781341,4703,23865,29.09639753
5781341,4544,23866,28.28456936
5781341,4172,23867,26.49613253
5781341,2900.*,23875,18.98198866
5781341,50915,24240,18.81737752
5781353,21145,23705,65.44548151
5781353,21001,23706,64.78818352
5781353,20931,23707,64.53886086
5781353,20811,23708,64.1489333
5781353,20511,23709,63.12661252
5781353,20255,23710,62.26725873
5781353,20009,23711,61.45910571
5781353,19926,23712,61.20503039
5781353,19866,23713,61.00371098
5781353,19584,23714,60.07925919
5781353,18957,23715,58.0039086
5781353,18795,23716,57.50124935
5781353,18733,23717,57.29634007
5781353,18713,23718,57.2287303
5781353,18634,23719,56.94592834
5781353,18628,23720,56.92448185
5781353,18477,23721,56.51207042
5781353,17998,23722,55.60135335
5781353,17715,23723,54.53008933
5781353,17579,23724,54.10331187
5781353,17436,23725,53.6434655
5781353,17335,23726,53.31302868
5781353,16731,23727,51.37096395
5781353,16285,23728,49.89059977
5781353,16065,23729,49.43435257
5781353,15854,23730,48.56862285
5781353,15849,23731,48.55358773
5781353,15661,23732,47.81198649
5781353,15484,23733,47.12573262
5781353,14994,23734,45.69077937
5781353,14611,23735,44.69398132
5781353,14468,23736,44.22270632
5781353,14416,23737,44.05320206
5781353,14261,23738,43.63641013
5781353,14129,23739,43.40056522
5781353,14063,23740,43.14891358
5781353,14041,23741,43.08011861
5781353,13973,23742,42.85338177
5781353,13904,23743,42.60526791
5781353,13838,23744,42.3771695
5781353,13658,23745,41.80399256
5781353,13236,23746,40.486737
5781353,12635,23747,38.54241493
5781353,12090,23748,37.20369721
5781353,11598,23749,35.7004116
5781353,11107,23750,34.10558634
5781353,10485,23751,32.10926458
5781353,9891,23752,30.39036884
5781353,9357,23753,28.87979941
5781353,9051,23754,27.85763208
5781353,8535,23755,26.29678017
5781353,7868,23756,24.06112613
5781353,7768,23757,23.74002732
5781353,7619,23758,23.25160369
5781353,7483,23759,22.8114835
5781353,7032,23760,21.32566005
5781353,6551,23761,20.14405024
5781353,6094,23762,18.57850726
5781353,5922,23763,18.04186625
5781353,5796,23764,17.63689634
5781353,5674,23765,17.31388431
5781353,5286,23766,15.99165941
5781353,4896,23767,14.94921831
5781353,4363,23768,13.21110106
5781353,3971,23769,11.94649392
5781353,3417,23770,10.41243945
5781353,3241,23771,9.815625297
5781353,2796,23772,8.327543138
5781353,2134,23773,6.553453175
5781353,1479,23774,4.674965268
5781353,1037,23775,3.296599175
5781353,646,23776,2.000444577
5781353,404,23777,1.243720907
5781353,72,23778,0.220645968
5781397,14605,16169,95.46371159
5781397,14477,16170,94.6151636
5781397,14301,16171,93.75456065
5781397,14086,16172,92.37020892
5781397,13932,16173,91.37114708
5781397,13789,16174,90.93951315
5781397,13711,16175,90.27568024
5781397,13652,16176,89.84363172
5781397,13521,16177,88.89031925
5781397,13317,16178,87.72996772
5781397,13144,16179,86.75471275
5781397,12923,16180,85.39181134
5781397,12611,16181,83.13087615
5781397,12438,16182,81.84620241
5781397,12213,16183,80.27697634
5781397,12148,16184,79.77656434
5781397,12067,16185,79.19650217
5781397,12006,16186,78.95181508
5781397,11878,16187,78.16444474
5781397,11648,16188,77.16977148
5781397,11591,16189,0
5781397,11533,16190,76.30388776
5781397,11483,16191,75.99528666
5781397,11269,16192,74.55300757
5781397,11050,16193,73.2552407
5781397,10675,16194,70.85472461
5781397,10347,16195,68.86673023
5781397,10206,16196,67.85428635
5781397,10151,16197,67.44580342
5781397,10060,16198,66.86532389
5781397,10002,16199,66.49044053
5781397,9783,16200,65.01985378
5781397,9522,16201,63.52164687
5781397,9378,16202,63.09109934
5781397,9094,16203,61.1728376
5781397,8836,16204,59.32006767
5781397,8646,16205,57.76176662
5781397,8600,16206,57.37011239
5781397,8542,16207,56.93701469
5781397,8482,16208,56.50974514
5781397,8299,16209,55.63311086
5781397,8051,16210,54.24249779
5781397,7825,16211,52.95615777
5781397,7527,16212,50.77314607
5781397,7261,16213,48.93059598
5781397,7081,16214,48.05822279
5781397,6962,16215,46.97721942
5781397,6909,16216,46.55578935
5781397,6882,16217,46.35948153
5781397,6835,16218,46.0292937
5781397,6736,16219,45.30931014
5781397,6641,16220,44.62534949
5781397,6565,16221,44.09589066
5781397,6461,16222,43.52205371
5781397,6339,16223,42.86510942
5781397,6144,16224,41.36800487
5781397,5973,16225,40.08752573
5781397,5743,16226,38.77409633
5781397,5591,16227,37.70333574
5781397,5419,16228,36.43516609
5781397,5279,16229,35.41362502
5781397,5140,16230,34.43837514
5781397,5114,16231,34.28720628
5781397,4990,16232,33.34900041
5781397,4880,16233,32.56763183
5781397,4714,16234,31.31060255
5781397,4535,16235,30.06334104
5781397,4421,16236,29.24856971
5781397,4227,16237,27.97775779
5781397,4118,16238,27.31652021
5781397,3941,16239,26.26502665
5781397,3817,16240,25.40477007
5781397,3684,16241,24.45053483
5781397,3524,16242,23.46223669
5781397,3452,16243,22.85447605
5781397,3356,16244,22.10541371
5781397,3219,16245,21.15682018
5781397,3029,16246,19.75435515
5781397,2862,16247,18.55425021
5781397,2766,16248,17.73082474
5781397,2641,16249,16.74709086
5781397,2567,16250,16.3958598
5781397,2443,16251,15.66642032
5781397,2279,16252,14.54201839
5781397,2213,16253,14.37205276
5781397,2022,16254,12.89322206
5781397,1876,16255,11.84076357
5781397,1694,16256,10.84711653
5781397,1609,16257,10.47420656
5781397,1498,16258,9.818025078
5781397,1363,16259,9.170530253
5781397,1202,16260,8.168745652
5781397,1037,16261,6.930912745
5781397,957,16262,6.370627975
