X	Graphic Profile 1
0	5177.9271
30.7902692167	5175.566
61.5805601689	5170.7028
92.3708728692	5152.7489
123.161207305	5134.1481
153.951563487	5120.9461
184.741941417	5107.3553
215.532341086	5094.5657
246.3227625	5079.4742
277.113205655	5067.9258
307.903670556	5051.8953
338.694157194	5035.6748
369.484665582	5018.7031
400.275195717	5006.588
431.06574759	4993.2173
461.856321212	4976.1585
492.646916573	4963.5828
523.437533679	4953.8633
554.22817253	4934.9577
585.018833122	4922.6457
615.809515465	4911.1246
646.600219547	4893.4773
677.39094537	4869.3866

