X	Graphic Profile 1
0	4460.581
30.1224961896	4460.1975
60.2449923801	4455.4142
90.3674885698	4454.5723
120.48998476	4447.7831
150.61248095	4438.1658
180.734977138	4417.1502
210.857473328	4400.0863
240.979969519	4391.0987
271.102465708	4383.6677
301.224961899	4372.3136
331.347458089	4358.4346
361.469954279	4337.6398
391.592450467	4319.7513
421.714946657	4303.4533
451.837442847	4289.8641
481.959939038	4281.5427
512.082435227	4273.3935
542.204931417	4263.308
572.327427605	4251.4858
602.449923795	4245.3029
632.572419985	4243.6691
662.694916176	4238.0888
692.817412365	4231.2297
722.939908556	4225.7813
753.062404744	4225.0436
783.184900933	4224.4666
813.307397124	4224.0614
843.429893313	4212.6972
873.552389504	4205.4351
903.674885694	4205.9913
933.797381883	4201.4848

