X	Graphic Profile 1
0	4967.1149
30.8429188281	4974.58
61.6858376572	4989.2089
92.5287564853	5010.6385
123.371675314	5027.3276
154.214594143	5035.6569
185.057512972	5039.0425
215.9004318	5044.444
246.743350629	5049.255
277.586269457	5063.4193
308.429188285	5076.0009
339.272107116	5086.1317
370.115025942	5112.0104
400.957944773	5141.3409
431.800863599	5157.9925
462.64378243	5184.8153
493.486701259	5214.6014
524.329620088	5237.7236
555.172538917	5247.4777
586.015457745	5260.6149
616.858376574	5289.0856
647.701295402	5316.7938
678.544214231	5348.9884
709.387133059	5391.111
740.230051887	5427.8849
771.072970716	5456.9872
801.915889544	5480.0646
832.758808373	5483.9929
863.601727202	5472.7534
894.444646031	5470.2538
925.287564859	5461.1018
956.13048369	5460.2888
986.973402516	5460.9617
1017.81632135	5477.7039
1048.65924018	5490.6716
1079.502159	5501.393

