X	Graphic Profile 1
0	5471.2032
31.3727928446	5464.7147
62.7455613234	5460.6653
94.1183054531	5458.9345
125.49102523	5455.1067
156.863720654	5439.2619
188.23639172	5432.0968
219.609038435	5422.8283
250.981660793	5414.9527
282.354258796	5410.7566
313.726832448	5409.2558
345.09938175	5406.1127
376.4719067	5397
407.844407298	5388.2847
439.216883539	5373.8742
470.589335438	5367.9305
501.961762982	5359.1354
533.334166183	5335.5361
564.706545022	5316.1643
596.078899522	5303.2508
627.451229669	5285.0864
658.823535465	5255.7868
690.195816913	5234.7381
721.568074021	5213.348
752.940306773	5188.2473
784.312515182	5146.6449
815.684699242	5088.3012
847.056858961	5054.1982
878.428994328	5022.9911
909.801105349	4996.781
941.173192031	4969.7554
972.545254361	4944.3582
1003.91729235	4908.7082
1035.28930599	4879.8825
1066.6612953	4861.6604
1098.03326026	4846.2808
1129.40520087	4821.7223
1160.77711714	4797.51
1192.14900907	4784.6721
1223.52087666	4774.1016
1254.89271991	4756.4924
1286.26453881	4740.6641
1317.63633338	4727.0966
1349.0081036	4716.9875
1380.3798495	4699.8797
1411.75157104	4667.8564
1443.12326824	4625.2085
1474.49494111	4585.6807
1505.86658964	4567.1128
1537.23821383	4546.7044
1568.60981368	4512.3733
1599.9813892	4484.3164
1631.35294038	4473.3619
1662.72446722	4462.5651
1694.09596973	4448.8298
1725.4674479	4436.8482
1756.83890174	4430.348
1788.21033123	4426.4525
1819.58173641	4428.6381
1850.95311723	4433.5439
1882.32447373	4436.5804
1913.6958059	4439.1998
1945.06711373	4447.9827
1976.43839723	4461.2629
2007.80965639	4478.8053
2039.18089123	4493.3501
2070.55210173	4495.7543
2101.9232879	4490.8017
2133.29444974	4490.6295
2164.66558725	4492.0517
2196.03670043	4489.7438
2227.40778928	4483.8661

