X	Graphic Profile 1
0	5079.8048
30.38752482	5057.1757
60.7750496378	5034.1932
91.1625744582	5025.8071
121.550099275	5016.0304
151.937624093	5010.7625
182.325148914	4994.1278
212.712673731	4982.7651
243.100198551	4976.0129
273.48772337	4973.7718
303.875248186	4963.1331
334.262773007	4937.4399
364.650297826	4906.482
395.037822644	4869.567
425.425347463	4842.3368
455.812872283	4818.813
486.200397101	4796.1349
516.58792192	4773.9615
546.975446738	4760.9883
577.362971557	4752.7926
607.750496376	4736.6771
638.138021194	4718.9821
668.525546015	4695.2974
698.913070832	4672.0972
729.300595652	4635.4793
759.688120471	4606.2513
790.075645289	4582.1541
820.463170108	4553.6378
850.850694928	4524.6197
881.238219745	4499.4654
911.625744565	4475.1667
942.013269384	4460.4179
972.400794201	4436.9906
1002.78831902	4421.9847
1033.17584384	4420.6225
1063.56336866	4411.5429
1093.95089348	4390.2154
1124.3384183	4386.9849
1154.72594312	4386.6742

