X	Graphic Profile 1
0	4420.0907
30.7475592063	4436.9064
61.4951184126	4459.3842
92.2426776159	4473.8401
122.990236822	4480.354
153.737796026	4480.9709
184.485355232	4487.6859
215.232914438	4487.7017
245.980473644	4493.3643
276.728032849	4498.7543
307.475592055	4497.5818
338.223151261	4495.1113
368.970710464	4496.0411
399.718269671	4498.3232
430.465828877	4502.3881
461.213388083	4506.3499
491.960947287	4509.733
522.708506494	4517.0535
553.4560657	4523.6963
584.203624903	4532.6031
614.95118411	4545.0622
645.698743316	4560.8692
676.446302522	4582.3467
707.193861726	4592.4693
737.941420933	4598.6503
768.688980139	4606.1437
799.436539344	4616.0016
830.184098549	4621.0803
860.931657755	4627.7946
891.679216961	4632.8319
922.426776164	4637.6198
953.17433537	4644.2083
983.921894577	4651.7035
1014.66945378	4654.2574
1045.41701299	4654.2991
1076.16457219	4666.4462
1106.9121314	4687.4795
1137.6596906	4703.1737
1168.40724981	4708.2905
1199.15480902	4715.1214
1229.90236822	4726.3441
1260.64992743	4742.6258
1291.39748663	4767.9111
1322.14504584	4792.6593
1352.89260504	4818.548
1383.64016425	4844.51
1414.38772345	4864.602
1445.13528266	4884.8461
1475.88284187	4911.6104
1506.63040107	4943.6902
1537.37796028	4984.9129
1568.12551948	5019.1896
1598.87307869	5043.9035
1629.62063789	5073.0832
1660.3681971	5100.9253
1691.1157563	5120.0045
1721.86331551	5130.6414
1752.61087472	5142.494
1783.35843392	5149.8965
1814.10599313	5153.847
1844.85355233	5152.643
1852.79106821	5151.8226

