X	Graphic Profile 1
0	5266.306
30.8845889698	5259.4133
61.7691532992	5254.5948
92.6536929843	5242.0218
123.53820802	5229.0068
154.422698407	5223.5058
185.30716416	5218.8756
216.191605268	5212.7408
247.076021732	5197.0153
277.960413557	5181.3763
308.844780739	5177.9918
339.729123281	5175.1619
370.613441192	5169.8093
401.497734455	5161.8087
432.382003088	5151.7846
463.26624708	5149.3777
494.15046643	5146.7068
525.034661156	5148.0619
555.918831241	5147.6239
586.802976688	5154.8238
617.687097507	5165.0848
648.571193694	5167.3891
679.455265247	5169.5933
710.339312175	5167.1072
741.22333446	5168.944
772.107332128	5167.5413
802.991305154	5158.7451
833.87525356	5150.4256
864.759177341	5141.6008
895.643076487	5137.1383
926.526951007	5137.082
957.410800911	5133.1168
988.294626177	5122.6804
1019.17842683	5105.5068
1050.06220285	5090.7149
1080.94595426	5078.5235
1111.82968103	5063.4673
1142.7133832	5046.1362
1173.59706073	5029.4803
1204.48071365	5017.0535
1235.36434195	5007.6869
1266.24794563	4990.4594
1297.13152469	4964.6918
1328.01507913	4950.9182
1358.89860896	4931.8351
1389.78211417	4913.3175
1420.66559477	4887.0367
1451.54905075	4863.0987
1482.43248212	4852.6418
1513.31588888	4844.9414
1544.19927102	4838.9921
1575.08262855	4831.7004
1605.96596147	4824.602
1636.84926978	4816.4342
1667.73255349	4813.5987
1698.61581258	4811.7695
1729.49904706	4808.0264
1760.38225693	4806.2622
1791.26544221	4805.2929
1822.14860288	4807.8489
1853.03173893	4809.0132

