X	Graphic Profile 1
0	4724.8294
30.4719753829	4730.9965
60.9439507622	4732.5139
91.4159261443	4733.1376
121.887901525	4732.5279
152.359876904	4726.973
182.831852287	4722.9585
213.303827668	4722.4363
243.775803048	4720.2344
274.247778427	4720.2843
304.719753808	4725.3016
335.19172919	4727.5992
365.663704571	4748.2021
396.135679953	4765.5927
426.607655331	4767.9558
457.079630713	4764.8795
487.551606094	4761.9089
518.023581475	4763.2203
548.495556857	4769.3231
578.967532234	4774.8942
609.439507616	4778.9654
639.911482997	4781.456
670.383458378	4787.59
700.855433759	4791.3872
731.327409141	4795.2357
761.799384519	4805.8184
792.271359903	4826.2892
822.743335284	4852.4151
853.215310664	4885.8895
883.687286045	4926.9129
914.159261424	4957.0306
944.631236806	4971.6597
975.103212187	4987.8787
1005.57518757	5002.8962
1036.04716295	5021.2692
1066.51913833	5051.9201
1096.99111371	5075.7698
1127.46308909	5090.1288
1157.93506447	5094.0957
1188.40703985	5101.9169
1218.87901523	5114.2551
1249.35099061	5132.7296
1279.822966	5148.8039
1310.29494138	5158.7451
1340.76691676	5171.1417
1371.23889214	5190.9551
1401.71086752	5205.5648
1432.1828429	5211.5582
1462.65481828	5216.2774
1493.12679366	5218.2079
1523.59876904	5223.6294
1554.07074442	5231.3003
1584.5427198	5235.2008
1615.01469518	5240.6116
1645.48667056	5247.0697
1675.95864595	5250.2754
1706.43062132	5254.8926
1736.90259671	5258.5089
1767.37457209	5259.6171
1797.84654747	5263.9974
1828.31852285	5270.8201
1858.79049823	5278.4725
1889.26247361	5284.9148
1919.73444899	5290.0694
1950.20642437	5294.5822
1980.67839975	5293.2967
2011.15037513	5295.7661
2041.62235051	5300.2777
2072.0943259	5306.6276
2102.56630128	5315.764
2133.03827666	5325.0619

