X	Graphic Profile 1
0	4469.4942
30.1459158459	4459.4058
60.2918316893	4442.0717
90.4377475337	4421.6887
120.583663377	4392.9274
150.729579223	4353.5319
180.875495066	4331.4794
211.021410911	4318.5223
241.167326753	4311.3877
271.3132426	4299.8705
301.459158445	4286.4622
331.605074287	4276.0673
361.750990133	4265.8085
391.896905976	4254.8944
422.042821821	4245.1342
452.188737664	4238.887
482.334653509	4235.8222
512.480569354	4216.5507
542.626485197	4200.5352
572.772401042	4194.8578
602.918316888	4189.6581
633.064232731	4181.8858
663.210148576	4171.5477
693.356064418	4162.6532
723.501980264	4158.0579
753.647896108	4154.0281
783.793811952	4147.4347
813.939727795	4141.7545
844.085643641	4138.3728
874.231559485	4135.7457
904.377475329	4132
934.523391173	4130.0694
964.669307018	4127.7179
994.815222863	4125.1536
1024.96113871	4121.2578

