X	Graphic Profile 1
0	5189.4719
30.4930992845	5171.8794
60.9862142236	5158.8718
91.4793448405	5146.3924
121.972491112	5134.6256
152.465653052	5123.5316
182.958830655	5109.6403
213.452023925	5097.695
243.945232858	5081.5228
274.438457466	5073.6305
304.931697734	5065.319
335.424953675	5057.8636
365.918225276	5050.6962
396.411512549	5044.5766
426.904815489	5038.0489
457.3981341	5032.164
487.891468386	5029.5534
518.384818339	5027.6531
548.878183954	5023.6073
579.371565243	5020.7811
609.86496221	5018.2948
640.358374844	5020.9127
670.851803143	5019.2987
701.345247119	5016.305
731.838706773	5013.8167
762.332182091	5016.031

