X	Graphic Profile 1
0	4708.6048
30.8268700245	4708.5477
61.6537400509	4709.3916
92.4806100754	4709.9522
123.307480102	4708.7415
154.134350126	4703.7591
184.961220155	4698.9375
215.788090179	4697.4468
246.614960206	4696.5128
277.44183023	4695.4777
308.268700255	4699.331
339.095570281	4699.4113
369.922440306	4701.1432
400.749310332	4701.9272
431.576180357	4700.2445
462.403050381	4686.1717
493.229920409	4676.9851
524.056790433	4668.6905
554.88366046	4655.1586
585.710530484	4644.3976
616.53740051	4634.5967
647.364270534	4625.3176
678.191140561	4623.2839
709.018010586	4618.9879
739.844880612	4612.7379
770.671750637	4598.8934
801.498620663	4580.276
832.325490688	4571.2418

