X	Graphic Profile 1
0	5562.6438
30.9111369974	5522.8386
61.8222856942	5482.9141
92.7334460895	5445.2433
123.64461818	5424.8166
154.555801971	5395.807
185.466997454	5354.5064
216.378204627	5328.1532
247.289423502	5300.6769
278.200654061	5286.1841
309.111896321	5267.3584
340.02315027	5250.8649
370.934415917	5237.0282
401.845693252	5223.0483
432.756982272	5212.9055
463.668282982	5191.5574
494.579595388	5173.4812
525.490919476	5166.2641
556.40225525	5154.6737
587.313602721	5137.3938
618.224961872	5118.4439
649.136332707	5104.548
680.047715224	5089.1654
710.959109432	5067.9215
741.870515323	5047.0925
772.781932895	5024.5545
803.693362148	5002.959
834.604803086	4987.5394
865.516255703	4976.9324
896.427720007	4959.2356
927.339195981	4939.1478
958.250683639	4914.5342
989.162182979	4891.079
1020.07369399	4870.3166
1050.98521669	4833.378
1081.89675105	4794.1745
1112.8082971	4776.0776
1143.71985481	4742.6508
1174.63142422	4730.7729
1205.54300528	4744.2475
1236.45459802	4761.882
1267.36620244	4769.3443
1298.27781852	4776.5389
1329.18944628	4780.2625
1360.10108571	4783.728
1391.01273681	4783.5898
1421.92439958	4777.7075
1452.83607401	4770.8657
1483.74776012	4771.6174
1514.65945789	4776.8638

