X	Graphic Profile 1
0	4626.0659
30.8197130286	4617.6048
61.6394442299	4607.4869
92.4591936071	4594.0564
123.27896116	4578.9717
154.09874689	4560.7639
184.918550798	4542.9028
215.738372885	4535.7232
246.558213152	4518.9139
277.378071599	4498.1736
308.197948224	4483.2334
339.017843033	4476.7947
369.83775602	4475.4995
400.657687186	4477.7552
431.477636536	4476.4078
462.297604071	4474.3147
493.11758979	4473.5708
523.937593687	4470.2518
554.757615771	4468.5614
585.577656036	4467.6742
616.397714481	4468.5797
647.217791119	4467.8885
678.037885943	4461.0151
708.857998947	4458.353
739.678130143	4456.0903
770.498279521	4451.3583
801.318447085	4446.2439
832.138632842	4444.7292
862.958836785	4443.8346
893.779058921	4440.6777
924.599299243	4433.3018
955.419557753	4425.8481
986.23983446	4422.0512
1017.06012935	4417.2122
1047.88044243	4413.5535
1078.70077371	4411.4154
1109.52112317	4410.8877
1140.34149083	4405.007
1171.16187669	4398.8454
1201.98228073	4392.7184
1232.80270297	4388.9612
1263.62314341	4386.6993
1294.44360204	4381.0232
1325.26407886	4374.6475
1356.08457388	4371.5947

