X	Graphic Profile 1
0	4519.8066
30.0351269823	4520.8402
60.0702308247	4522.7561
90.1053115272	4522.8329
120.140369088	4521.708
150.17540351	4519.4273
180.210414787	4516.1598
210.245402924	4517.9302
240.280367929	4522.1736
270.315309793	4522.9251
300.350228523	4527.407
330.385124108	4526.2142
360.419996559	4519.0023
390.454845876	4512.6521
420.489672056	4497.9444
450.524475102	4482.28
480.559255019	4468.4361
510.594011798	4457.3891
540.628745449	4450.1513
571.308796039	4439.5894
601.988826646	4424.04
632.668837268	4409.3199
663.348827921	4400.2001
694.028798583	4393.8453
724.708749276	4391.3227
755.388679984	4386.1842
786.068590715	4382.52
816.74848147	4381.1372
847.428352249	4380.2423
878.108203053	4376.235
908.788033876	4374.2504
939.467844722	4375.1001
970.147635603	4375.0273
1000.8274065	4372.7296

