X	Graphic Profile 1
0	5176.2227
31.36417696	5174.1535
62.7283763777	5163.6449
94.0925982541	5141.2942
125.456842587	5127.1747
156.821109383	5113.4293
188.185398632	5098.9402
219.549710344	5085.0533
250.914044509	5071.5493
282.278401136	5058.0626
313.642780214	5040.5106
345.007181766	5023.5883
376.371605764	5009.4072
407.736052223	4996.3841
439.100521148	4979.6626
470.465012525	4965.1864
501.829526361	4956.0505
533.194062658	4939.5636
564.558621411	4925.6713
595.923202628	4912.8581
627.287806304	4896.727
658.652432438	4870.929
690.017081029	4854.1216
721.381752084	4840.9502
752.746445593	4828.5546
784.111161567	4813.4649
815.475899998	4799.0964
846.840660891	4793.1501
878.205444248	4788.3754
909.570250057	4774.6169
940.935078331	4752.4885
972.299929062	4719.0224
1003.66480226	4698.0961
1035.02969791	4680.8899
1066.39461603	4654.8243
1097.7595566	4617.2098
1129.12451964	4597.7818
1160.48950514	4582.4197
1191.85451309	4570.5668

