X	Graphic Profile 1
0	5084.5012
30.9775725657	5075.5477
61.9551710796	5067.9151
92.9327955271	5060.1803
123.910445923	5054.3851
154.888122259	5049.1553
185.865824537	5045.6449
216.843552767	5036.5968
247.821306937	5019.894
278.79908706	5003.7106
309.77689312	4984.7787
340.754725131	4957.0547
371.732583099	4925.4368
402.710467008	4891.057
433.688376868	4874.837
464.666312681	4861.119
495.644274449	4846.9856
526.622262162	4842.2978
557.600275831	4843.5834
588.57831546	4841.4027
619.556381036	4840.2801
650.534472573	4841.2427
681.512590065	4837.0771
712.490733509	4830.0682
743.468902916	4829.8513
774.447098283	4813.7657
805.425319602	4804.5611
836.403566884	4801.3183
867.381840133	4794.6244
898.360139335	4784.7843
929.338464507	4780.6188
960.316815638	4779.5836
991.295192733	4774.3001
1022.27359579	4771.5573
1053.25202482	4761.6202
1084.23047981	4756.7997
1115.20896076	4757.4351
1146.18746769	4751.7953
1177.16600058	4745.9131
1208.14455944	4747.7082
1239.12314428	4762.4301
1270.10175508	4766.672

