X	Graphic Profile 1
0	4207.413
31.4013156554	4208.8028
62.8026073538	4211.8251
94.2038750968	4214.2185
125.605118877	4218.443
157.006338704	4224.199
188.407534573	4226.044
219.808706485	4227.086
251.209854439	4228.0531
282.610978445	4230.2551
314.012078487	4230.0357
345.413154573	4224.8506
376.814206704	4221.4939
408.215234882	4212.2032
439.616239105	4204.7056
471.017219379	4199.5373
502.418175694	4196.6195
533.819108058	4192.2079
565.220016462	4187.8578
596.620900914	4181.9577
628.021761418	4175.2326
659.422597972	4167.7407
690.823410569	4158.9495
722.224199215	4147.9003
753.624963905	4140.8622
785.025704652	4126.9599
816.426421446	4117.7913
847.827114286	4110.8517
879.227783184	4103.421
910.628428121	4100.011
942.02904912	4097.5904
973.429646161	4091.8828
1004.83021926	4085.1713
1036.2307684	4079.4705
1067.63129361	4074.5226

