X	Graphic Profile 1
0	4710.4547
31.1564178742	4708.595
62.3128357458	4713.4775
93.469253619	4713.0022
124.625671495	4705.9415
155.782089366	4701.4365
186.938507238	4695.7161
218.094925112	4671.7586
249.251342983	4639.3506
280.407760857	4604.0761
311.56417873	4576.5361
342.720596602	4562.1734
373.877014475	4557.9482
405.033432348	4564.6185
436.189850222	4568.3049
467.968853511	4564.95
499.747856803	4559.2767
531.526860095	4557.9648
563.305863386	4559.5548
595.084866677	4561.5285
626.863869969	4561.469
658.642873261	4559.9155
690.421876551	4560.8299
722.200879842	4558.7082
753.979883132	4555.9761
785.758886426	4548.1264
817.537889714	4537.2544
849.316893008	4531.0088
881.095896299	4526.6257
912.87489959	4522.5925
944.653902883	4517.7299
976.432906175	4513.8394
1008.21190946	4512.8783
1039.99091276	4510.1521

