X	Graphic Profile 1
0	4192.993
30.56935106	4191.5027
61.1387009412	4192.4504
91.7080496582	4191.4068
122.277397203	4189.371
152.846743575	4185.1852
183.416088768	4179.619
213.985432792	4173.3192
244.55477564	4155.5558
275.124117321	4143.3781
305.693457821	4133.5245
336.262797149	4127.0756
366.832135297	4123.2758
397.401472271	4112.9655
427.970808062	4101.2769
458.540142681	4092.3659
489.10947612	4084.3376
519.67880838	4077.3694
550.248139462	4072.609
580.817469365	4067.0366
611.386798083	4050.9075
641.956125623	4034.6385
672.525451981	4026.122
703.094777149	4021.3581
733.664101141	4017.7081
764.233423947	4012.2708
794.802745574	4006.2026
825.372066009	3999.56
855.941385264	3991.339
886.510703333	3985.651
917.08002021	3981.3506
947.649335906	3977.9221
978.21865041	3975.2299
1008.78796373	3973.4044

