X	Graphic Profile 1
0	5041.7882
30.9400869859	5031.9006
61.8801690687	5022.5351
92.82024626	5016.4806
123.760318548	5014.6104
154.700385934	5005.2375
185.640448422	4990.3453
216.580506008	4988.6534
247.520558688	4984.0535
278.460606474	4975.2604
309.400649347	4966.6482
340.340687319	4953.997
371.280720385	4937.7536
402.220748543	4927.1585
433.160771798	4926.9887
464.100790148	4921.1882
495.040803588	4913.0144
525.980812118	4906.6891
556.920815738	4898.8565
587.860814446	4893.3747
618.800808246	4881.6074
649.740797128	4869.264
680.680781106	4851.4234
711.620760168	4838.8612
742.560734313	4819.7741
773.500703548	4804.3565
804.440667865	4794.3188
835.380627265	4774.8808
866.320581747	4757.0048
897.260531314	4740.0272
928.200475961	4727.5228
959.140415694	4717.3019
990.080350503	4697.1694
1021.02028039	4655.925
1051.96020536	4605.4082
1082.90012541	4558.4998
1113.84004053	4522.7092

