X	Graphic Profile 1
0	4853.9517
30.5097588686	4868.855
61.0195177381	4886.5831
91.5292766094	4912.7245
122.039035479	4931.2895
152.548794348	4958.8429
183.058553217	4964.8129
213.568312088	4967.4197
244.078070958	4973.8384
274.587829828	4981.4395
305.097588696	4983.5466
335.607347566	4983.8552
366.117106437	4992.4821
396.626865307	5003.6706
427.136624176	5015.6407
457.646383045	5037.4234
488.156141915	5058.2945
518.665900786	5068.7084
549.175659656	5084.8179
579.685418525	5105.222
610.195177394	5122.1148
640.704936266	5141.8568
671.214695135	5151.2468
701.724454005	5166.0951
732.234212874	5175.7742
762.743971743	5181.8006
793.253730615	5190.3217
823.763489484	5202.8207
854.273248354	5217.893
884.783007223	5229.5169
915.292766092	5237.7808
945.802524963	5241.5253
976.312283832	5246.7122
1006.8220427	5264.2661
1037.33180157	5285.2603
1067.84156044	5297.8637
1098.35131931	5308.9967
1120.16946355	5321.3426
1141.98760779	5353.4558

