X	Graphic Profile 1
0	4606.0115
30.5914708532	4596.6608
61.1829417025	4595.4657
91.774412552	4589.6881
122.365883403	4571.0763
152.957354256	4559.8457
183.548825106	4556.482
214.140295955	4548.9227
244.731766806	4521.4664
275.323237659	4500.8374
305.914708509	4486.2046
336.506179358	4470.5281
367.097650209	4459.7707
397.689121062	4449.9371
428.280591912	4441.6971
458.872062761	4435.908
489.463533612	4431.7134
520.055004462	4429.3969
550.646475315	4425.8128
581.237946164	4420.5263
611.829417015	4414.0566
642.420887865	4404.7358
673.012358718	4396.1642
703.603829567	4389.5105
734.195300418	4378.7696
764.786771268	4366.0774
795.378242121	4359.1312
825.96971297	4357.6955
856.56118382	4357.0205
887.152654671	4353.3753
917.744125524	4349.7796
948.335596373	4349.5646
978.927067223	4349.6984
1009.51853807	4345.8701
1040.11000893	4344.9493
1070.70147978	4345.7501
1101.29295063	4347.5149
1131.88442148	4348.4006
1162.47589233	4344.9313
1193.06736318	4340.1437
1223.65883403	4338.4948
1254.25030488	4337.5724

