X	Graphic Profile 1
0	5556.5614
30.8796183376	5523.9592
61.7592513775	5487.0822
92.638899137	5449.3274
123.518561602	5434.3122
154.398238774	5405.8119
185.277930651	5369.6374
216.157637241	5342.015
247.037358542	5314.9099
277.917094549	5298.0995
308.796845256	5285.6165
339.676610678	5265.7006
370.556390803	5250.2376
401.43618563	5241.0856
432.315995159	5226.1846
463.195819399	5212.9377
494.075658344	5198.1702
524.955511985	5191.1951
555.835380335	5174.3601
586.715263379	5154.917
617.59516113	5150.7852
648.475073583	5145.2922
679.355000735	5126.5351
710.234942579	5107.5404
741.114899132	5083.2681
771.994870384	5060.5559
802.874856329	5044.0554
833.754856976	5032.9032
864.634872319	5016.7601
895.514902359	4992.2219
926.394947096	4985.1161
957.275006525	4968.7812
988.155080651	4950.6181
1019.03516947	4931.5191

