X	Graphic Profile 1
0	5233.2616
30.3107346762	5215.1778
60.6214693556	5203.3179
90.9322040344	5182.3042
121.242938713	5152.4099
151.553673391	5126.6532
181.86440807	5111.0469
212.175142749	5090.772
242.485877428	5072.3886
272.796612107	5055.5091
303.107346786	5038.9317
333.418081465	5026.3188
363.728816144	5014.1937
394.039550823	5000.2454
424.350285502	4985.1414
454.661020181	4970.2343
484.97175486	4950.6208
515.282489539	4929.2389
545.593224216	4911.2788
575.903958894	4894.073
606.214693573	4878.5635
636.525428252	4863.484
666.83616293	4853.0486
697.146897609	4847.4924
727.457632288	4839.5188
757.768366967	4838.1767
788.079101646	4836.6214
818.389836326	4827.6989
848.700571004	4817.4624
879.011305683	4808.1947
909.322040362	4800.896

