X	Graphic Profile 1
0	4469.0153
30.7750412854	4473.82
61.5500825693	4475.7648
92.325123857	4476.0303
123.100165142	4476.2174
153.875206426	4475.3928
184.650247712	4470.9734
215.425288999	4464.1308
246.200330284	4461.0102
276.975371568	4462.1362
307.750412855	4464.5672
338.525454141	4466.5904
369.300495425	4472.8593
400.075536713	4482.0149
430.850577998	4506.6509
461.625619282	4531.0868
492.400660568	4579.9654
523.175701852	4622.8441
553.950743139	4653.6573
584.725784425	4700.2659
615.50082571	4724.3483
646.275866996	4734.2533
677.050908282	4744.2371
707.825949566	4760.3326
738.600990854	4772.726
769.376032139	4780.3582
800.151073423	4786.7378
830.926114709	4797.1067
861.701155993	4812.2129
892.476197281	4829.3722
923.251238566	4846.4732
954.02627985	4865.5282
984.801321138	4881.1334
1015.57636242	4903.3123
1046.35140371	4932.2512
1077.12644499	4951.2846
1107.90148628	4964.8476
1138.67652756	4972.9053
1169.45156885	4983.476
1200.22661014	4990.158
1231.00165142	4991.9567
1261.77669271	4991.2318
1292.55173399	4996.0077
1323.32677528	5004.3386
1354.10181656	5017.1682
1384.87685785	5033.2713
1415.65189914	5055.3208
1446.42694042	5074.5116
1477.20198171	5092.1997
1507.97702299	5111.6557
1538.75206428	5125.7613
1569.52710556	5141.1883
1600.30214685	5153.9708
1631.07718813	5165.7152
1661.85222942	5177.609
1692.6272707	5185.963
1723.40231199	5198.4421
1754.17735328	5211.8626
1784.95239456	5222.4301
1815.72743585	5231.9693
1846.50247713	5241.4676
1877.27751842	5244.9692
1908.0525597	5248.7204
1938.82760099	5260.5886
1969.60264228	5282.8807
2000.37768356	5299.0414
2031.15272485	5316.1715
2061.92776613	5346.3916
2092.70280742	5376.0166
2120.08578144	5415.2214
2147.46875546	5452.8559
2174.85172948	5482.1994

