COMID,Stage,Mean,StDev
5781369,0.0,0.0,0.0
5781369,1.0,0.604909,0.6576
5781369,2.0,0.335494,0.261604
5781369,3.0,0.24652,0.153608
5781369,4.0,0.201233,0.1062
5781369,5.0,0.174212,0.0810275
5781369,6.0,0.156193,0.0659866
5781369,7.0,0.142552,0.0560277
5781369,8.0,0.131834,0.0491379
5781369,9.0,0.123511,0.044329
5781369,10.0,0.116383,0.0407078
5781369,11.0,0.109793,0.0377755
5781369,12.0,0.104992,0.0357871
5781369,13.0,0.101853,0.0345782
5781369,14.0,0.0992823,0.0337052
5781369,15.0,0.0973135,0.0331337
5781369,16.0,0.0954204,0.0326539
5781369,17.0,0.0935418,0.0322225
5781369,18.0,0.0921823,0.0319979
5781369,19.0,0.0907308,0.0317586
5781369,20.0,0.089677,0.0316679
5781369,21.0,0.0886757,0.0316002
5781369,22.0,0.088006,0.0316518
5781369,23.0,0.087355,0.031709
5781369,24.0,0.0863352,0.0316276
5781369,25.0,0.0858046,0.0317193
5781369,26.0,0.0851817,0.0317706
5781369,27.0,0.0844503,0.0317738
5781369,28.0,0.08403,0.0318862
5781369,29.0,0.0834792,0.0319415
5781369,30.0,0.082778,0.0319304
5781369,31.0,0.0813425,0.0316245
5781369,32.0,0.0796033,0.0311859
5781369,33.0,0.0781176,0.0308319
5781369,34.0,0.0768779,0.0305622
5781369,35.0,0.0763028,0.0305466
5781369,36.0,0.075457,0.0304139
5781369,37.0,0.0732352,0.0297137
5781369,38.0,0.0718967,0.029358
5781369,39.0,0.0713206,0.0293043
5781369,40.0,0.0714059,0.029517
5781369,41.0,0.0724503,0.0301248
5781369,42.0,0.0738417,0.0308787
5781369,43.0,0.0753273,0.0316748
5781369,44.0,0.0768802,0.0325022
5781369,45.0,0.0784027,0.0333197
5781369,46.0,0.0798513,0.0341086
5781369,47.0,0.0812641,0.0348845
5781369,48.0,0.0824256,0.0355541
5781369,49.0,0.0834833,0.0361798
5781369,50.0,0.0845741,0.0368206
5781369,51.0,0.0853494,0.0373241
5781369,52.0,0.0861473,0.0378371
5781369,53.0,0.0867847,0.0382789
5781369,54.0,0.087349,0.0386874
5781369,55.0,0.0880154,0.0391401
5781369,56.0,0.0888823,0.0396815
5781369,57.0,0.0898877,0.040285
5781369,58.0,0.0909363,0.0409082
5781369,59.0,0.0919238,0.0415045
5781369,60.0,0.0928394,0.0420684
5781369,61.0,0.0938248,0.0426642
5781369,62.0,0.0947802,0.0432467
5781369,63.0,0.0955849,0.0437604
5781369,64.0,0.0965227,0.044335
5781369,65.0,0.0975103,0.0449327
5781369,66.0,0.0984846,0.0455246
5781369,67.0,0.0994293,0.0461031
5781369,68.0,0.100409,0.0466981
5781369,69.0,0.101284,0.0472443
5781369,70.0,0.102184,0.0478027
5781369,71.0,0.102813,0.0482337
5781369,72.0,0.103304,0.0485994
5781369,73.0,0.103672,0.0489057
5781369,74.0,0.104098,0.0492384
5781369,75.0,0.104804,0.0497031
5781369,76.0,0.105626,0.0502226
5781369,77.0,0.106474,0.0507541
5781369,78.0,0.107343,0.0512959
5781369,79.0,0.108179,0.0518223
5781369,80.0,0.109025,0.0523527
5781369,81.0,0.109755,0.0528282
5781369,82.0,0.110427,0.0532747
