COMID,Stage,Mean,StDev
5781477,0.0,0.0,0.0
5781477,1.0,0.33614,0.28479
5781477,2.0,0.201222,0.140767
5781477,3.0,0.154674,0.0955283
5781477,4.0,0.130935,0.0734989
5781477,5.0,0.115843,0.0600906
5781477,6.0,0.104804,0.0507854
5781477,7.0,0.0965075,0.0440249
5781477,8.0,0.0914849,0.0395165
5781477,9.0,0.0882736,0.0362684
5781477,10.0,0.0854763,0.0335282
5781477,11.0,0.0832779,0.0312817
5781477,12.0,0.081552,0.0294117
5781477,13.0,0.0797657,0.0276823
5781477,14.0,0.0781409,0.026147
5781477,15.0,0.0767137,0.0247935
5781477,16.0,0.0755585,0.0236241
5781477,17.0,0.0744948,0.022565
5781477,18.0,0.073753,0.0216722
5781477,19.0,0.0730903,0.020861
5781477,20.0,0.0721451,0.0200234
5781477,21.0,0.0713184,0.0192693
5781477,22.0,0.0704543,0.0185506
5781477,23.0,0.0697998,0.0179277
5781477,24.0,0.0692757,0.0173736
5781477,25.0,0.0690121,0.0169152
5781477,26.0,0.0688828,0.0165158
5781477,27.0,0.0684549,0.01607
5781477,28.0,0.0683268,0.0157181
5781477,29.0,0.0684291,0.0154389
5781477,30.0,0.0686007,0.0151927
5781477,31.0,0.0685406,0.0149122
5781477,32.0,0.0688253,0.0147226
5781477,33.0,0.0696446,0.0146594
5781477,34.0,0.0705303,0.0146199
5781477,35.0,0.0715594,0.014619
5781477,36.0,0.072503,0.0146092
5781477,37.0,0.073531,0.014625
5781477,38.0,0.0747505,0.0146867
5781477,39.0,0.0760866,0.0147785
5781477,40.0,0.077817,0.0149531
5781477,41.0,0.079269,0.0150804
5781477,42.0,0.0812082,0.0153064
5781477,43.0,0.083146,0.0155377
5781477,44.0,0.085031,0.0157651
5781477,45.0,0.0867508,0.0159684
5781477,46.0,0.0884584,0.0161765
5781477,47.0,0.0897781,0.0163213
5781477,48.0,0.0912346,0.016499
5781477,49.0,0.0922164,0.0165992
5781477,50.0,0.0936122,0.0167823
5781477,51.0,0.0947748,0.0169318
5781477,52.0,0.096011,0.0171027
5781477,53.0,0.0971517,0.0172648
5781477,54.0,0.0981038,0.0174016
5781477,55.0,0.0990634,0.017548
5781477,56.0,0.099975,0.0176938
5781477,57.0,0.100641,0.0178042
5781477,58.0,0.101569,0.0179685
5781477,59.0,0.10245,0.0181322
5781477,60.0,0.103169,0.0182747
5781477,61.0,0.103837,0.0184152
5781477,62.0,0.104535,0.0185679
5781477,63.0,0.104619,0.0186182
5781477,64.0,0.105062,0.0187386
5781477,65.0,0.105928,0.0189409
5781477,66.0,0.107089,0.0192023
5781477,67.0,0.108225,0.0194658
5781477,68.0,0.109532,0.0197665
5781477,69.0,0.110757,0.0200588
5781477,70.0,0.111994,0.0203597
5781477,71.0,0.113309,0.020681
5781477,72.0,0.114836,0.0210472
5781477,73.0,0.116343,0.0214164
5781477,74.0,0.117773,0.0217777
5781477,75.0,0.119312,0.0221654
5781477,76.0,0.120867,0.0225624
5781477,77.0,0.1224,0.0229615
5781477,78.0,0.123771,0.0233361
5781477,79.0,0.125233,0.0237337
5781477,80.0,0.126004,0.0240058
5781477,81.0,0.127375,0.0243968
5781477,82.0,0.128586,0.0247627
