COMID,Stage,Mean,StDev
5781431,0.0,0.0,0.0
5781431,1.0,0.243442,0.147145
5781431,2.0,0.194658,0.0988169
5781431,3.0,0.182566,0.0818333
5781431,4.0,0.176911,0.0716643
5781431,5.0,0.174453,0.0647517
5781431,6.0,0.173378,0.0595123
5781431,7.0,0.174621,0.0558024
5781431,8.0,0.17656,0.0527959
5781431,9.0,0.177778,0.0499437
5781431,10.0,0.178572,0.0472859
5781431,11.0,0.180743,0.0452354
5781431,12.0,0.182377,0.043241
5781431,13.0,0.185002,0.0416376
5781431,14.0,0.187277,0.0400824
5781431,15.0,0.188573,0.0384421
5781431,16.0,0.190034,0.0369539
5781431,17.0,0.191186,0.0355126
5781431,18.0,0.191879,0.0340896
5781431,19.0,0.192742,0.0327934
5781431,20.0,0.192743,0.0314443
5781431,21.0,0.192882,0.0302096
5781431,22.0,0.192602,0.0289966
5781431,23.0,0.192561,0.0279022
5781431,24.0,0.192539,0.026887
5781431,25.0,0.192921,0.0259984
5781431,26.0,0.193041,0.0251408
5781431,27.0,0.192906,0.0243155
5781431,28.0,0.192739,0.0235501
5781431,29.0,0.193023,0.0228996
5781431,30.0,0.193644,0.0223442
5781431,31.0,0.194715,0.0218916
5781431,32.0,0.195667,0.0214744
5781431,33.0,0.196428,0.0210847
5781431,34.0,0.197251,0.0207493
5781431,35.0,0.198113,0.020464
5781431,36.0,0.198925,0.0202183
5781431,37.0,0.199159,0.0199585
5781431,38.0,0.199215,0.0197246
5781431,39.0,0.199317,0.0195375
5781431,40.0,0.198781,0.0193283
5781431,41.0,0.198521,0.0191847
5781431,42.0,0.198931,0.0191418
5781431,43.0,0.199367,0.0191352
5781431,44.0,0.1991,0.0190931
5781431,45.0,0.199358,0.019131
5781431,46.0,0.199475,0.0191834
5781431,47.0,0.200441,0.0193436
5781431,48.0,0.201241,0.0195126
5781431,49.0,0.202038,0.0197043
5781431,50.0,0.202893,0.0199231
5781431,51.0,0.203705,0.0201578
5781431,52.0,0.204398,0.0203992
5781431,53.0,0.204237,0.0205716
5781431,54.0,0.204617,0.020813
5781431,55.0,0.204192,0.0209854
5781431,56.0,0.204899,0.0212862
5781431,57.0,0.206059,0.0216465
5781431,58.0,0.20704,0.0220001
5781431,59.0,0.207983,0.0223604
5781431,60.0,0.208977,0.0227363
5781431,61.0,0.20971,0.0230928
5781431,62.0,0.210516,0.0234652
5781431,63.0,0.211533,0.0238689
5781431,64.0,0.212383,0.0242609
5781431,65.0,0.213167,0.0246516
5781431,66.0,0.213615,0.0250085
5781431,67.0,0.213736,0.0253308
5781431,68.0,0.213757,0.025644
5781431,69.0,0.214004,0.0259866
5781431,70.0,0.214275,0.0263345
5781431,71.0,0.215466,0.0267989
5781431,72.0,0.216854,0.0272924
5781431,73.0,0.217886,0.0277455
5781431,74.0,0.218638,0.0281658
5781431,75.0,0.219485,0.0286009
5781431,76.0,0.220455,0.0290547
5781431,77.0,0.221361,0.0295023
5781431,78.0,0.222507,0.0299846
5781431,79.0,0.224101,0.0305306
5781431,80.0,0.226031,0.0311269
5781431,81.0,0.228536,0.0318078
5781431,82.0,0.23105,0.0324963
