COMID,Stage,Mean,StDev
5781345,0.0,0.0,0.0
5781345,1.0,7.22984e+21,inf
5781345,2.0,7.49441e+14,7.14921e+15
5781345,3.0,6.55286e+10,6.25102e+11
5781345,4.0,8.89059e+07,8.48061e+08
5781345,5.0,539765.0,5.14564e+06
5781345,6.0,8407.48,79787.3
5781345,7.0,255.714,2364.68
5781345,8.0,13.8476,113.475
5781345,9.0,1.56386,8.49479
5781345,10.0,0.483835,1.37192
5781345,11.0,0.304793,0.515544
5781345,12.0,0.253061,0.35675
5781345,13.0,0.232434,0.346178
5781345,14.0,0.222979,0.364433
5781345,15.0,0.219224,0.389689
5781345,16.0,0.21862,0.417664
5781345,17.0,0.220614,0.448611
5781345,18.0,0.22367,0.480416
5781345,19.0,0.227763,0.513545
5781345,20.0,0.232097,0.54656
5781345,21.0,0.236688,0.579645
5781345,22.0,0.241253,0.612215
5781345,23.0,0.246336,0.645741
5781345,24.0,0.251675,0.679686
5781345,25.0,0.256965,0.713294
5781345,26.0,0.262764,0.748173
5781345,27.0,0.268813,0.783704
5781345,28.0,0.275018,0.81967
5781345,29.0,0.281227,0.855659
5781345,30.0,0.287527,0.891954
5781345,31.0,0.293911,0.928562
5781345,32.0,0.300097,0.964601
5781345,33.0,0.306334,1.00086
5781345,34.0,0.31239,1.03659
5781345,35.0,0.319154,1.07476
5781345,36.0,0.325915,1.11307
5781345,37.0,0.332884,1.15223
5781345,38.0,0.339732,1.19113
5781345,39.0,0.346854,1.23116
5781345,40.0,0.353881,1.27103
5781345,41.0,0.361002,1.31141
5781345,42.0,0.367819,1.35086
5781345,43.0,0.374815,1.39113
5781345,44.0,0.381923,1.432
5781345,45.0,0.388923,1.47264
5781345,46.0,0.395795,1.51296
5781345,47.0,0.402741,1.55375
5781345,48.0,0.40949,1.59393
5781345,49.0,0.416049,1.63352
5781345,50.0,0.422403,1.67245
5781345,51.0,0.428889,1.71204
5781345,52.0,0.43521,1.75111
5781345,53.0,0.441221,1.78905
5781345,54.0,0.447221,1.82706
5781345,55.0,0.453157,1.86492
5781345,56.0,0.458654,1.90107
5781345,57.0,0.463297,1.93374
5781345,58.0,0.469053,1.97111
5781345,59.0,0.474727,2.00825
5781345,60.0,0.480478,2.04581
5781345,61.0,0.485967,2.08235
5781345,62.0,0.49185,2.12067
5781345,63.0,0.497658,2.15878
5781345,64.0,0.503415,2.19676
5781345,65.0,0.509236,2.23513
5781345,66.0,0.514629,2.27171
5781345,67.0,0.520063,2.30856
5781345,68.0,0.525618,2.34603
5781345,69.0,0.531216,2.38378
5781345,70.0,0.53674,2.42129
5781345,71.0,0.542226,2.45871
5781345,72.0,0.547762,2.49645
5781345,73.0,0.553044,2.53311
5781345,74.0,0.558387,2.57013
5781345,75.0,0.563715,2.60715
5781345,76.0,0.569092,2.64449
5781345,77.0,0.574716,2.68304
5781345,78.0,0.580159,2.72084
5781345,79.0,0.585706,2.75921
5781345,80.0,0.591293,2.79785
5781345,81.0,0.596655,2.83551
5781345,82.0,0.602401,2.87508
