COMID,Stage,Mean,StDev
5781731,0.0,0.0,0.0
5781731,1.0,4.27956,12.3882
5781731,2.0,1.41276,2.57054
5781731,3.0,0.813475,1.08689
5781731,4.0,0.575415,0.609699
5781731,5.0,0.449406,0.395499
5781731,6.0,0.372329,0.280715
5781731,7.0,0.319975,0.211366
5781731,8.0,0.281522,0.165773
5781731,9.0,0.252744,0.134538
5781731,10.0,0.229651,0.111828
5781731,11.0,0.210432,0.0947209
5781731,12.0,0.195882,0.0822807
5781731,13.0,0.184492,0.0729578
5781731,14.0,0.175732,0.0659663
5781731,15.0,0.169239,0.0607784
5781731,16.0,0.1637,0.0566616
5781731,17.0,0.159551,0.0535988
5781731,18.0,0.155581,0.0510557
5781731,19.0,0.150607,0.0485686
5781731,20.0,0.148087,0.0471855
5781731,21.0,0.145893,0.0461547
5781731,22.0,0.144315,0.0455241
5781731,23.0,0.143106,0.0451813
5781731,24.0,0.142843,0.0452814
5781731,25.0,0.143144,0.0456844
5781731,26.0,0.142321,0.0458334
5781731,27.0,0.143891,0.0468457
5781731,28.0,0.145644,0.0480077
5781731,29.0,0.147419,0.0492579
5781731,30.0,0.149048,0.0505316
5781731,31.0,0.150457,0.0517939
5781731,32.0,0.151852,0.0531064
5781731,33.0,0.153201,0.0544524
5781731,34.0,0.154274,0.0557422
5781731,35.0,0.155724,0.0572062
5781731,36.0,0.157512,0.0588336
5781731,37.0,0.159341,0.0605138
5781731,38.0,0.161031,0.0621755
5781731,39.0,0.162476,0.063772
5781731,40.0,0.163714,0.0653114
5781731,41.0,0.164683,0.0667628
5781731,42.0,0.165346,0.0681037
5781731,43.0,0.166187,0.0695294
5781731,44.0,0.167105,0.0709985
5781731,45.0,0.168188,0.0725496
5781731,46.0,0.16929,0.0741214
5781731,47.0,0.17023,0.0756321
5781731,48.0,0.171114,0.0771263
5781731,49.0,0.171797,0.0785357
5781731,50.0,0.172452,0.0799359
5781731,51.0,0.172817,0.0812025
5781731,52.0,0.173308,0.0825279
5781731,53.0,0.173866,0.0838861
5781731,54.0,0.174717,0.0853882
5781731,55.0,0.175724,0.0869709
5781731,56.0,0.176682,0.088535
5781731,57.0,0.177671,0.0901196
5781731,58.0,0.178563,0.0916587
5781731,59.0,0.179304,0.0931235
5781731,60.0,0.18006,0.0945975
5781731,61.0,0.180724,0.0960243
5781731,62.0,0.181511,0.0975174
5781731,63.0,0.182342,0.0990362
5781731,64.0,0.183334,0.100646
5781731,65.0,0.184401,0.1023
5781731,66.0,0.185505,0.103981
5781731,67.0,0.186628,0.105677
5781731,68.0,0.187729,0.107365
5781731,69.0,0.188608,0.10893
5781731,70.0,0.189282,0.110378
5781731,71.0,0.189837,0.111756
5781731,72.0,0.190287,0.11307
5781731,73.0,0.190744,0.114386
5781731,74.0,0.191454,0.115853
5781731,75.0,0.192268,0.117383
5781731,76.0,0.193144,0.118953
5781731,77.0,0.194035,0.120534
5781731,78.0,0.194902,0.122103
5781731,79.0,0.195697,0.123628
5781731,80.0,0.19645,0.125127
5781731,81.0,0.197064,0.126539
5781731,82.0,0.1977,0.127963
