COMID,Stage,Mean,StDev
5781373,0.0,0.0,0.0
5781373,1.0,62.1916,223.447
5781373,2.0,5.78485,16.725
5781373,3.0,1.69529,4.05132
5781373,4.0,0.789094,1.55572
5781373,5.0,0.464036,0.752799
5781373,6.0,0.315393,0.422415
5781373,7.0,0.236594,0.264412
5781373,8.0,0.190265,0.180622
5781373,9.0,0.161397,0.133302
5781373,10.0,0.141822,0.104797
5781373,11.0,0.127725,0.0869217
5781373,12.0,0.118027,0.075991
5781373,13.0,0.110954,0.069131
5781373,14.0,0.105816,0.064926
5781373,15.0,0.10209,0.0624693
5781373,16.0,0.099225,0.0610761
5781373,17.0,0.0967343,0.0602352
5781373,18.0,0.0946107,0.0598095
5781373,19.0,0.0927613,0.0596587
5781373,20.0,0.091216,0.059753
5781373,21.0,0.0894029,0.0596838
5781373,22.0,0.088323,0.0600973
5781373,23.0,0.0877865,0.0608745
5781373,24.0,0.087613,0.0618993
5781373,25.0,0.0875934,0.0630287
5781373,26.0,0.0876946,0.0642404
5781373,27.0,0.0878008,0.0654501
5781373,28.0,0.0877454,0.0665297
5781373,29.0,0.0876955,0.0676007
5781373,30.0,0.0876475,0.0686599
5781373,31.0,0.087554,0.0696696
5781373,32.0,0.0874873,0.0706862
5781373,33.0,0.0875399,0.0717869
5781373,34.0,0.0876706,0.0729416
5781373,35.0,0.0877896,0.0740775
5781373,36.0,0.0879854,0.0752703
5781373,37.0,0.088174,0.0764499
5781373,38.0,0.0882753,0.077546
5781373,39.0,0.0883667,0.0786245
5781373,40.0,0.0884762,0.0797107
5781373,41.0,0.0886429,0.080841
5781373,42.0,0.0888696,0.0820203
5781373,43.0,0.0891643,0.083258
5781373,44.0,0.0895643,0.0845916
5781373,45.0,0.0899779,0.0859373
5781373,46.0,0.0903046,0.0871985
5781373,47.0,0.090656,0.0884814
5781373,48.0,0.0909388,0.0896948
5781373,49.0,0.0911762,0.0908601
5781373,50.0,0.0914454,0.0920535
5781373,51.0,0.0917251,0.0932545
5781373,52.0,0.0920252,0.0944738
5781373,53.0,0.0923646,0.0957315
5781373,54.0,0.092728,0.097013
5781373,55.0,0.0931276,0.0983319
5781373,56.0,0.093493,0.0996142
5781373,57.0,0.0938605,0.100898
5781373,58.0,0.0941922,0.102143
5781373,59.0,0.0945338,0.103397
5781373,60.0,0.094886,0.104662
5781373,61.0,0.0952716,0.105964
5781373,62.0,0.0956706,0.10728
5781373,63.0,0.0961127,0.108646
5781373,64.0,0.0965903,0.110053
5781373,65.0,0.0970507,0.111442
5781373,66.0,0.0975404,0.112867
5781373,67.0,0.0979845,0.11424
5781373,68.0,0.0983811,0.115559
5781373,69.0,0.0987759,0.116876
5781373,70.0,0.0991343,0.118151
5781373,71.0,0.0994815,0.119411
5781373,72.0,0.0998273,0.12067
5781373,73.0,0.100173,0.121928
5781373,74.0,0.100548,0.123222
5781373,75.0,0.100867,0.124448
5781373,76.0,0.10123,0.125728
5781373,77.0,0.101556,0.126961
5781373,78.0,0.101849,0.128152
5781373,79.0,0.102162,0.129368
5781373,80.0,0.102503,0.130618
5781373,81.0,0.102805,0.13182
5781373,82.0,0.103077,0.132981
