COMID,Stage,Mean,StDev
5781353,0.0,0.0,0.0
5781353,1.0,1.38389,4.2095
5781353,2.0,0.710524,1.90448
5781353,3.0,0.526459,1.26404
5781353,4.0,0.443795,0.964128
5781353,5.0,0.397443,0.78705
5781353,6.0,0.364461,0.661853
5781353,7.0,0.343679,0.575276
5781353,8.0,0.328724,0.509497
5781353,9.0,0.317717,0.457862
5781353,10.0,0.310498,0.417646
5781353,11.0,0.305708,0.385209
5781353,12.0,0.302745,0.358617
5781353,13.0,0.301923,0.337363
5781353,14.0,0.302366,0.31977
5781353,15.0,0.303346,0.304644
5781353,16.0,0.304135,0.29101
5781353,17.0,0.307017,0.280817
5781353,18.0,0.310596,0.272464
5781353,19.0,0.314637,0.265582
5781353,20.0,0.319696,0.260505
5781353,21.0,0.324889,0.256391
5781353,22.0,0.329926,0.252959
5781353,23.0,0.335268,0.250515
5781353,24.0,0.34059,0.248762
5781353,25.0,0.345927,0.247683
5781353,26.0,0.351278,0.247238
5781353,27.0,0.356255,0.247121
5781353,28.0,0.361279,0.24759
5781353,29.0,0.366332,0.248595
5781353,30.0,0.371516,0.25017
5781353,31.0,0.377195,0.25252
5781353,32.0,0.383075,0.255414
5781353,33.0,0.389187,0.258844
5781353,34.0,0.395324,0.262643
5781353,35.0,0.40117,0.266578
5781353,36.0,0.406711,0.270613
5781353,37.0,0.412005,0.274766
5781353,38.0,0.417293,0.279172
5781353,39.0,0.42291,0.284036
5781353,40.0,0.428471,0.289084
5781353,41.0,0.433679,0.294096
5781353,42.0,0.439209,0.299512
5781353,43.0,0.444649,0.30504
5781353,44.0,0.449991,0.310659
5781353,45.0,0.455316,0.316412
5781353,46.0,0.460543,0.322231
5781353,47.0,0.46554,0.328012
5781353,48.0,0.47022,0.333678
5781353,49.0,0.474437,0.339114
5781353,50.0,0.478658,0.344639
5781353,51.0,0.482553,0.350007
5781353,52.0,0.486723,0.355646
5781353,53.0,0.491139,0.361532
5781353,54.0,0.495567,0.367491
5781353,55.0,0.500216,0.373673
5781353,56.0,0.504703,0.379789
5781353,57.0,0.509156,0.385932
5781353,58.0,0.513121,0.391748
5781353,59.0,0.516963,0.397507
5781353,60.0,0.520663,0.403191
5781353,61.0,0.524203,0.408778
5781353,62.0,0.52816,0.414718
5781353,63.0,0.532141,0.420704
5781353,64.0,0.536117,0.426712
5781353,65.0,0.540294,0.432903
5781353,66.0,0.544423,0.439081
5781353,67.0,0.548511,0.445246
5781353,68.0,0.552361,0.451237
5781353,69.0,0.555975,0.45705
5781353,70.0,0.559224,0.462573
5781353,71.0,0.562751,0.468335
5781353,72.0,0.566329,0.47415
5781353,73.0,0.570192,0.480214
5781353,74.0,0.574149,0.486368
5781353,75.0,0.578021,0.492462
5781353,76.0,0.581723,0.49842
5781353,77.0,0.585353,0.504324
5781353,78.0,0.588664,0.509957
5781353,79.0,0.591923,0.515548
5781353,80.0,0.595094,0.521064
5781353,81.0,0.598223,0.526544
5781353,82.0,0.601528,0.53218
