COMID,Stage,Mean,StDev
5781393,0.0,0.0,0.0
5781393,1.0,71.361,635.509
5781393,2.0,3.09416,12.8538
5781393,3.0,1.00265,1.84474
5781393,4.0,0.602946,0.6758
5781393,5.0,0.450797,0.382835
5781393,6.0,0.375669,0.271498
5781393,7.0,0.33057,0.218319
5781393,8.0,0.302145,0.191087
5781393,9.0,0.282872,0.17658
5781393,10.0,0.26939,0.169141
5781393,11.0,0.25928,0.165596
5781393,12.0,0.252622,0.165187
5781393,13.0,0.248435,0.166906
5781393,14.0,0.246431,0.170397
5781393,15.0,0.24516,0.174586
5781393,16.0,0.244501,0.179328
5781393,17.0,0.245421,0.185323
5781393,18.0,0.246912,0.191851
5781393,19.0,0.2497,0.199502
5781393,20.0,0.252643,0.207403
5781393,21.0,0.255955,0.215733
5781393,22.0,0.25972,0.224577
5781393,23.0,0.263611,0.233669
5781393,24.0,0.267864,0.243223
5781393,25.0,0.272393,0.253178
5781393,26.0,0.276709,0.263083
5781393,27.0,0.281974,0.274047
5781393,28.0,0.287674,0.285619
5781393,29.0,0.293392,0.297396
5781393,30.0,0.299199,0.309451
5781393,31.0,0.305132,0.321825
5781393,32.0,0.311552,0.334909
5781393,33.0,0.318185,0.34843
5781393,34.0,0.325303,0.362698
5781393,35.0,0.332447,0.37722
5781393,36.0,0.34001,0.392446
5781393,37.0,0.34713,0.407384
5781393,38.0,0.35417,0.422441
5781393,39.0,0.361591,0.438162
5781393,40.0,0.369123,0.454238
5781393,41.0,0.376502,0.470341
5781393,42.0,0.384135,0.486974
5781393,43.0,0.391875,0.503957
5781393,44.0,0.399868,0.521485
5781393,45.0,0.408029,0.539456
5781393,46.0,0.416264,0.557748
5781393,47.0,0.424393,0.576118
5781393,48.0,0.432581,0.594786
5781393,49.0,0.440635,0.613479
5781393,50.0,0.448467,0.632065
5781393,51.0,0.456099,0.650564
5781393,52.0,0.463914,0.66951
5781393,53.0,0.471849,0.688822
5781393,54.0,0.479799,0.708346
5781393,55.0,0.488232,0.728779
5781393,56.0,0.496894,0.749758
5781393,57.0,0.5056,0.771011
5781393,58.0,0.514429,0.792658
5781393,59.0,0.522963,0.81405
5781393,60.0,0.531271,0.83528
5781393,61.0,0.539712,0.856905
5781393,62.0,0.548,0.87847
5781393,63.0,0.556248,0.900148
5781393,64.0,0.564672,0.922288
5781393,65.0,0.573385,0.945082
5781393,66.0,0.582151,0.968148
5781393,67.0,0.591015,0.991561
5781393,68.0,0.599947,1.01527
5781393,69.0,0.608717,1.03889
5781393,70.0,0.617252,1.06228
5781393,71.0,0.625814,1.08588
5781393,72.0,0.634197,1.10934
5781393,73.0,0.642835,1.13341
5781393,74.0,0.65124,1.15722
5781393,75.0,0.660001,1.18183
5781393,76.0,0.668742,1.20656
5781393,77.0,0.677784,1.23201
5781393,78.0,0.686507,1.25703
5781393,79.0,0.695158,1.28208
5781393,80.0,0.703475,1.30666
5781393,81.0,0.71181,1.33142
5781393,82.0,0.720043,1.35613
