NEWID,1
LENGTH_KM,992.973
SLOPE,0.0050005
ROUGHNESS,0.05

StageHeight,NEWID,Length,Slope,Roughness,Width,SurfaceArea,WetArea,WettedPerimeter,BedArea,HydraulicRadius,Volume,Discharge
63.0,856.72,850700.0,7177.87,857.929,851.901,8.3665,7.12743e+06,41837.1
64.0,859.741,853700.0,7439.46,861.011,854.961,8.64037,7.38718e+06,44303.0
65.0,861.554,855500.0,7701.77,862.924,856.86,8.9252,7.64765e+06,46867.6
66.0,862.964,856900.0,7964.62,864.46,858.386,9.2134,7.90865e+06,49504.9
67.0,864.172,858100.0,8227.85,865.814,859.73,9.50302,8.17003e+06,52207.3
68.0,865.079,859000.0,8491.35,866.906,860.814,9.79501,8.43169e+06,54977.3
69.0,865.884,859800.0,8755.12,867.916,861.818,10.0875,8.6936e+06,57808.1
70.0,867.194,861100.0,9019.2,869.36,863.252,10.3745,8.95582e+06,60676.0
71.0,868.201,862100.0,9283.65,870.538,864.42,10.6643,9.21841e+06,63612.5
72.0,869.208,863100.0,9548.44,871.715,865.589,10.9536,9.48134e+06,66605.1
73.0,870.316,864200.0,9813.56,872.979,866.845,11.2415,9.74461e+06,69648.5
74.0,871.323,865200.0,10079.0,874.156,868.014,11.53,1.00082e+07,72751.2
75.0,872.632,866500.0,10344.8,875.601,869.448,11.8145,1.02721e+07,75892.8
76.0,873.74,867600.0,10610.9,876.865,870.703,12.101,1.05363e+07,79098.6
77.0,878.876,872700.0,10878.0,882.037,875.839,12.3328,1.08016e+07,82122.2
78.0,882.4,876200.0,11146.5,885.614,879.391,12.5861,1.10681e+07,85297.3
79.0,884.213,878000.0,11415.8,887.527,881.29,12.8624,1.13355e+07,88632.0
80.0,885.522,879300.0,11685.5,888.971,882.724,13.145,1.16034e+07,92050.2
81.0,886.63,880400.0,11955.6,890.235,883.98,13.4297,1.18716e+07,95532.5
82.0,886.932,880700.0,12225.9,890.916,884.655,13.7228,1.214e+07,99108.9
