Flowrate(m^3), Depth(m)
16.000000,0.977091
24.000000,1.171649
32.000000,1.332963
40.000000,1.472966
48.000000,1.598183
56.000000,1.712487
64.000000,1.818232
72.000000,1.917083
80.000000,2.010306
88.000000,2.098732
96.000000,2.182939
104.000000,2.263400
112.000000,2.340540
120.000000,2.414669
128.000000,2.486079
136.000000,2.555005
144.000000,2.621640
152.000000,2.686178
160.000000,2.748823
168.000000,2.809733
176.000000,2.869027
184.000000,2.926877
192.000000,2.983414
200.000000,3.038734
208.000000,3.092912
216.000000,3.146001
224.000000,3.198042
232.000000,3.249076
240.000000,3.299182
248.000000,3.348432
256.000000,3.396846
264.000000,3.444453
272.000000,3.491281
280.000000,3.537355
288.000000,3.582723
296.000000,3.627404
304.000000,3.671455
312.000000,3.714915
320.000000,3.757802
328.000000,3.800136
336.000000,3.841959
344.000000,3.883301
352.000000,3.924189
360.000000,3.964629
368.000000,4.004642
376.000000,4.044259
384.000000,4.083492
392.000000,4.122355
400.000000,4.160848
408.000000,4.198979
416.000000,4.236757
424.000000,4.274206
432.000000,4.311324
440.000000,4.348121
448.000000,4.384606
456.000000,4.420786
464.000000,4.456659
472.000000,4.492224
480.000000,4.527486
488.000000,4.562437
496.000000,4.597090
504.000000,4.631471
512.000000,4.665575
520.000000,4.699401
528.000000,4.732954
536.000000,4.766246
544.000000,4.799291
552.000000,4.832092
560.000000,4.864653
568.000000,4.896985
576.000000,4.929079
584.000000,4.960942
592.000000,4.992585
600.000000,5.024014
608.000000,5.055231
616.000000,5.086236
624.000000,5.117033
632.000000,5.147626
640.000000,5.178016
648.000000,5.208206
656.000000,5.238194
664.000000,5.267982
672.000000,5.297573
680.000000,5.326969
688.000000,5.356175
696.000000,5.385199
704.000000,5.414039
712.000000,5.442698
720.000000,5.471177
728.000000,5.499480
736.000000,5.527626
744.000000,5.555628
752.000000,5.583481
760.000000,5.611182
768.000000,5.638733
776.000000,5.666132
784.000000,5.693386
792.000000,5.720507
800.000000,5.747496
808.000000,5.774353
816.000000,5.801080
824.000000,5.827669
832.000000,5.854114
840.000000,5.880419
848.000000,5.906605
856.000000,5.932694
864.000000,5.958687
872.000000,5.984585
880.000000,6.010380
888.000000,6.036069
896.000000,6.061655
904.000000,6.087139
912.000000,6.112520
920.000000,6.137803
928.000000,6.163002
936.000000,6.188121
944.000000,6.213155
952.000000,6.238101
960.000000,6.262966
968.000000,6.287768
976.000000,6.312509
984.000000,6.337190
992.000000,6.361812
1000.000000,6.386377
1008.000000,6.410886
1016.000000,6.435349
1024.000000,6.459778
1032.000000,6.484173
1040.000000,6.508535
1048.000000,6.532864
1056.000000,6.557161
1064.000000,6.581421
1072.000000,6.605645
1080.000000,6.629841
1088.000000,6.654010
1096.000000,6.678151
1104.000000,6.702266
1112.000000,6.726354
1120.000000,6.750401
1128.000000,6.774397
1136.000000,6.798341
1144.000000,6.822241
1152.000000,6.846108
1160.000000,6.869946
1168.000000,6.893755
1176.000000,6.917531
1184.000000,6.941263
1192.000000,6.964948
1200.000000,6.988587
1208.000000,7.012180
1216.000000,7.035726
1224.000000,7.059232
1232.000000,7.082714
1240.000000,7.106174
1248.000000,7.129610
1256.000000,7.153009
1264.000000,7.176370
1272.000000,7.199694
1280.000000,7.222981
1288.000000,7.246234
1296.000000,7.269452
1304.000000,7.292636
1312.000000,7.315786
1320.000000,7.338904
1328.000000,7.361993
1336.000000,7.385034
1344.000000,7.408022
1352.000000,7.430958
1360.000000,7.453842
1368.000000,7.476674
1376.000000,7.499454
1384.000000,7.522183
1392.000000,7.544861
1400.000000,7.567491
1408.000000,7.590070
1416.000000,7.612601
1424.000000,7.635081
1432.000000,7.657500
1440.000000,7.679856
1448.000000,7.702151
1456.000000,7.724383
1464.000000,7.746554
1472.000000,7.768657
1480.000000,7.790691
1488.000000,7.812659
1496.000000,7.834562
1504.000000,7.856400
1512.000000,7.878172
1520.000000,7.899879
1528.000000,7.921521
1536.000000,7.943101
1544.000000,7.964626
1552.000000,7.986104
1560.000000,8.007536
1568.000000,8.028921
1576.000000,8.050258
1584.000000,8.071549
1592.000000,8.092790
1600.000000,8.113976
1608.000000,8.135109
