Flowrate(m^3), Depth(m)
1.000000,0.101433
1.500000,0.129503
2.000000,0.153862
2.500000,0.175819
3.000000,0.196038
3.500000,0.214915
4.000000,0.232709
4.500000,0.249602
5.000000,0.265728
5.500000,0.281188
6.000000,0.296061
6.500000,0.310410
7.000000,0.324286
7.500000,0.337731
8.000000,0.350780
8.500000,0.363464
9.000000,0.375807
9.500000,0.387831
10.000000,0.399554
10.500000,0.410992
11.000000,0.422159
11.500000,0.433068
12.000000,0.443729
12.500000,0.454151
13.000000,0.464342
13.500000,0.474311
14.000000,0.484100
14.500000,0.493734
15.000000,0.503216
15.500000,0.512551
16.000000,0.521742
16.500000,0.530791
17.000000,0.539704
17.500000,0.548481
18.000000,0.557127
18.500000,0.565643
19.000000,0.574033
19.500000,0.582299
20.000000,0.590443
20.500000,0.598467
21.000000,0.606374
21.500000,0.614166
22.000000,0.621845
22.500000,0.629412
23.000000,0.636869
23.500000,0.644219
24.000000,0.651463
24.500000,0.658603
25.000000,0.665641
25.500000,0.672577
26.000000,0.679414
26.500000,0.686154
27.000000,0.692797
27.500000,0.699345
28.000000,0.705800
28.500000,0.712163
29.000000,0.718435
29.500000,0.724618
30.000000,0.730713
30.500000,0.736721
31.000000,0.742644
31.500000,0.748482
32.000000,0.754237
32.500000,0.759911
33.000000,0.765503
33.500000,0.771016
34.000000,0.776454
34.500000,0.781850
35.000000,0.787210
35.500000,0.792536
36.000000,0.797827
36.500000,0.803085
37.000000,0.808309
37.500000,0.813500
38.000000,0.818658
38.500000,0.823784
39.000000,0.828878
39.500000,0.833941
40.000000,0.838972
40.500000,0.843973
41.000000,0.848943
41.500000,0.853882
42.000000,0.858792
42.500000,0.863672
43.000000,0.868524
43.500000,0.873345
44.000000,0.878139
44.500000,0.882904
45.000000,0.887640
45.500000,0.892349
46.000000,0.897030
46.500000,0.901684
47.000000,0.906310
47.500000,0.910910
48.000000,0.915483
48.500000,0.920029
49.000000,0.924549
49.500000,0.929043
50.000000,0.933512
50.500000,0.937954
51.000000,0.942372
51.500000,0.946763
52.000000,0.951131
52.500000,0.955473
53.000000,0.959790
53.500000,0.964083
54.000000,0.968352
54.500000,0.972597
55.000000,0.976818
55.500000,0.981015
56.000000,0.985188
56.500000,0.989338
57.000000,0.993465
57.500000,0.997568
58.000000,1.001649
58.500000,1.005707
59.000000,1.009742
59.500000,1.013755
60.000000,1.017745
60.500000,1.021713
61.000000,1.025659
61.500000,1.029583
62.000000,1.033486
62.500000,1.037366
63.000000,1.041225
63.500000,1.045063
64.000000,1.048879
64.500000,1.052675
65.000000,1.056449
65.500000,1.060202
66.000000,1.063934
66.500000,1.067646
67.000000,1.071337
67.500000,1.075008
68.000000,1.078660
68.500000,1.082299
69.000000,1.085924
69.500000,1.089535
70.000000,1.093133
70.500000,1.096718
71.000000,1.100290
71.500000,1.103848
72.000000,1.107394
72.500000,1.110926
73.000000,1.114445
73.500000,1.117952
74.000000,1.121445
74.500000,1.124926
75.000000,1.128394
75.500000,1.131850
76.000000,1.135293
76.500000,1.138723
77.000000,1.142141
77.500000,1.145547
78.000000,1.148941
78.500000,1.152322
79.000000,1.155691
79.500000,1.159047
80.000000,1.162392
80.500000,1.165725
81.000000,1.169046
81.500000,1.172354
82.000000,1.175651
82.500000,1.178937
83.000000,1.182210
83.500000,1.185472
84.000000,1.188722
84.500000,1.191961
85.000000,1.195188
85.500000,1.198403
86.000000,1.201608
86.500000,1.204800
87.000000,1.207982
87.500000,1.211152
88.000000,1.214311
88.500000,1.217459
89.000000,1.220595
89.500000,1.223721
90.000000,1.226836
90.500000,1.229939
91.000000,1.233032
91.500000,1.236113
92.000000,1.239184
92.500000,1.242244
93.000000,1.245294
93.500000,1.248332
94.000000,1.251360
94.500000,1.254378
95.000000,1.257384
95.500000,1.260381
96.000000,1.263366
96.500000,1.266342
97.000000,1.269306
97.500000,1.272261
98.000000,1.275205
98.500000,1.278139
99.000000,1.281062
99.500000,1.283976
100.000000,1.286879
100.500000,1.289772
