Flowrate(m^3), Depth(m)
16.000000,1.030888
24.000000,1.338300
32.000000,1.589179
40.000000,1.801777
48.000000,1.988314
56.000000,2.156696
64.000000,2.312370
72.000000,2.458343
80.000000,2.596303
88.000000,2.727370
96.000000,2.852003
104.000000,2.970389
112.000000,3.082914
120.000000,3.189659
128.000000,3.291111
136.000000,3.387869
144.000000,3.480800
152.000000,3.570312
160.000000,3.656635
168.000000,3.740275
176.000000,3.821561
184.000000,3.900658
192.000000,3.977689
200.000000,4.052573
208.000000,4.125359
216.000000,4.196168
224.000000,4.265049
232.000000,4.332027
240.000000,4.397174
248.000000,4.460610
256.000000,4.522410
264.000000,4.582639
272.000000,4.641560
280.000000,4.699322
288.000000,4.755996
296.000000,4.811570
304.000000,4.866107
312.000000,4.919712
320.000000,4.972531
328.000000,5.024598
336.000000,5.075948
344.000000,5.126597
352.000000,5.176580
360.000000,5.225879
368.000000,5.274469
376.000000,5.322363
384.000000,5.369579
392.000000,5.416175
400.000000,5.462151
408.000000,5.507512
416.000000,5.552259
424.000000,5.596415
432.000000,5.639983
440.000000,5.682953
448.000000,5.725330
456.000000,5.767126
464.000000,5.808349
472.000000,5.849001
480.000000,5.889089
488.000000,5.928611
496.000000,5.967582
504.000000,6.006032
512.000000,6.043952
520.000000,6.081346
528.000000,6.118227
536.000000,6.154657
544.000000,6.190669
552.000000,6.226269
560.000000,6.261465
568.000000,6.296267
576.000000,6.330658
584.000000,6.364637
592.000000,6.398217
600.000000,6.431417
608.000000,6.464319
616.000000,6.496941
624.000000,6.529287
632.000000,6.561361
640.000000,6.593148
648.000000,6.624640
656.000000,6.655846
664.000000,6.686768
672.000000,6.717411
680.000000,6.747785
688.000000,6.777906
696.000000,6.807788
704.000000,6.837434
712.000000,6.866845
720.000000,6.896032
728.000000,6.925001
736.000000,6.953769
744.000000,6.982345
752.000000,7.010726
760.000000,7.038910
768.000000,7.066887
776.000000,7.094647
784.000000,7.122196
792.000000,7.149545
800.000000,7.176694
808.000000,7.203658
816.000000,7.230439
824.000000,7.257027
832.000000,7.283413
840.000000,7.309601
848.000000,7.335610
856.000000,7.361466
864.000000,7.387183
872.000000,7.412762
880.000000,7.438197
888.000000,7.463487
896.000000,7.488631
904.000000,7.513627
912.000000,7.538477
920.000000,7.563195
928.000000,7.587798
936.000000,7.612290
944.000000,7.636667
952.000000,7.660932
960.000000,7.685115
968.000000,7.709241
976.000000,7.733312
984.000000,7.757329
992.000000,7.781293
1000.000000,7.805199
1008.000000,7.829046
1016.000000,7.852842
1024.000000,7.876598
1032.000000,7.900313
1040.000000,7.923988
1048.000000,7.947623
1056.000000,7.971225
1064.000000,7.994791
1072.000000,8.018319
1080.000000,8.041817
1088.000000,8.065284
1096.000000,8.088722
1104.000000,8.112134
1112.000000,8.135521
1120.000000,8.158864
1128.000000,8.182156
1136.000000,8.205397
1144.000000,8.228592
1152.000000,8.251753
1160.000000,8.274884
1168.000000,8.297992
1176.000000,8.321076
1184.000000,8.344125
1192.000000,8.367137
1200.000000,8.390114
1208.000000,8.413055
1216.000000,8.435957
1224.000000,8.458826
1232.000000,8.481674
1240.000000,8.504504
1248.000000,8.527314
1256.000000,8.550092
1264.000000,8.572840
1272.000000,8.595559
1280.000000,8.618252
1288.000000,8.640919
1296.000000,8.663561
1304.000000,8.686179
1312.000000,8.708772
1320.000000,8.731342
1328.000000,8.753889
1336.000000,8.776395
1344.000000,8.798858
1352.000000,8.821277
1360.000000,8.843654
1368.000000,8.865988
1376.000000,8.888277
1384.000000,8.910521
1392.000000,8.932719
1400.000000,8.954874
1408.000000,8.976985
1416.000000,8.999052
1424.000000,9.021078
1432.000000,9.043063
1440.000000,9.065005
1448.000000,9.086905
1456.000000,9.108763
1464.000000,9.130580
1472.000000,9.152349
1480.000000,9.174071
1488.000000,9.195758
1496.000000,9.217412
1504.000000,9.239032
1512.000000,9.260619
1520.000000,9.282172
1528.000000,9.303691
1536.000000,9.325177
1544.000000,9.346634
1552.000000,9.368068
1560.000000,9.389478
1568.000000,9.410867
1576.000000,9.432232
1584.000000,9.453574
1592.000000,9.474891
1600.000000,9.496181
1608.000000,9.517452
