Flowrate(m^3), Depth(m)
1.000000,0.126929
1.500000,0.162025
2.000000,0.192672
2.500000,0.220339
3.000000,0.245800
3.500000,0.269525
4.000000,0.291824
4.500000,0.312913
5.000000,0.332950
5.500000,0.352053
6.000000,0.370316
6.500000,0.387808
7.000000,0.404589
7.500000,0.420703
8.000000,0.436190
8.500000,0.451079
9.000000,0.465397
9.500000,0.479173
10.000000,0.492582
10.500000,0.505685
11.000000,0.518494
11.500000,0.531017
12.000000,0.543264
12.500000,0.555242
13.000000,0.566959
13.500000,0.578423
14.000000,0.589640
14.500000,0.600617
15.000000,0.611359
15.500000,0.621874
16.000000,0.632166
16.500000,0.642241
17.000000,0.652104
17.500000,0.661761
18.000000,0.671216
18.500000,0.680474
19.000000,0.689539
19.500000,0.698417
20.000000,0.707111
20.500000,0.715625
21.000000,0.723963
21.500000,0.732130
22.000000,0.740128
22.500000,0.747963
23.000000,0.755637
23.500000,0.763154
24.000000,0.770517
24.500000,0.777746
25.000000,0.784902
25.500000,0.791994
26.000000,0.799023
26.500000,0.805989
27.000000,0.812894
27.500000,0.819739
28.000000,0.826524
28.500000,0.833252
29.000000,0.839923
29.500000,0.846538
30.000000,0.853098
30.500000,0.859603
31.000000,0.866055
31.500000,0.872454
32.000000,0.878802
32.500000,0.885098
33.000000,0.891343
33.500000,0.897539
34.000000,0.903686
34.500000,0.909785
35.000000,0.915836
35.500000,0.921840
36.000000,0.927797
36.500000,0.933708
37.000000,0.939574
37.500000,0.945395
38.000000,0.951172
38.500000,0.956905
39.000000,0.962594
39.500000,0.968241
40.000000,0.973846
40.500000,0.979409
41.000000,0.984930
41.500000,0.990410
42.000000,0.995850
42.500000,1.001250
43.000000,1.006610
43.500000,1.011931
44.000000,1.017213
44.500000,1.022456
45.000000,1.027661
45.500000,1.032829
46.000000,1.037959
46.500000,1.043052
47.000000,1.048108
47.500000,1.053128
48.000000,1.058112
48.500000,1.063060
49.000000,1.067973
49.500000,1.072851
50.000000,1.077696
50.500000,1.082518
51.000000,1.087316
51.500000,1.092090
52.000000,1.096842
52.500000,1.101571
53.000000,1.106278
53.500000,1.110962
54.000000,1.115624
54.500000,1.120264
55.000000,1.124882
55.500000,1.129479
56.000000,1.134054
56.500000,1.138608
57.000000,1.143141
57.500000,1.147653
58.000000,1.152144
58.500000,1.156614
59.000000,1.161064
59.500000,1.165494
60.000000,1.169903
60.500000,1.174293
61.000000,1.178662
61.500000,1.183012
62.000000,1.187342
62.500000,1.191652
63.000000,1.195944
63.500000,1.200216
64.000000,1.204469
64.500000,1.208703
65.000000,1.212918
65.500000,1.217115
66.000000,1.221293
66.500000,1.225452
67.000000,1.229593
67.500000,1.233716
68.000000,1.237821
68.500000,1.241908
69.000000,1.245977
69.500000,1.250028
70.000000,1.254062
70.500000,1.258078
71.000000,1.262077
71.500000,1.266058
72.000000,1.270022
72.500000,1.273969
73.000000,1.277899
73.500000,1.281812
74.000000,1.285708
74.500000,1.289588
75.000000,1.293451
75.500000,1.297297
76.000000,1.301127
76.500000,1.304941
77.000000,1.308738
77.500000,1.312519
78.000000,1.316284
78.500000,1.320033
79.000000,1.323767
79.500000,1.327484
80.000000,1.331186
80.500000,1.334872
81.000000,1.338542
81.500000,1.342197
82.000000,1.345837
82.500000,1.349462
83.000000,1.353071
83.500000,1.356665
84.000000,1.360244
84.500000,1.363808
85.000000,1.367357
85.500000,1.370891
86.000000,1.374411
86.500000,1.377916
87.000000,1.381409
87.500000,1.384892
88.000000,1.388366
88.500000,1.391829
89.000000,1.395284
89.500000,1.398729
90.000000,1.402164
90.500000,1.405590
91.000000,1.409006
91.500000,1.412413
92.000000,1.415811
92.500000,1.419200
93.000000,1.422579
93.500000,1.425950
94.000000,1.429311
94.500000,1.432663
95.000000,1.436006
95.500000,1.439340
96.000000,1.442665
96.500000,1.445982
97.000000,1.449289
97.500000,1.452588
98.000000,1.455878
98.500000,1.459159
99.000000,1.462431
99.500000,1.465695
100.000000,1.468950
100.500000,1.472197
