Flowrate(m^3), Depth(m)
1.000000,0.148118
1.500000,0.188818
2.000000,0.224086
2.500000,0.255840
3.000000,0.285050
3.500000,0.312293
4.000000,0.337946
4.500000,0.362272
5.000000,0.385463
5.500000,0.407665
6.000000,0.428989
6.500000,0.449524
7.000000,0.469340
7.500000,0.488517
8.000000,0.507115
8.500000,0.525163
9.000000,0.542692
9.500000,0.559725
10.000000,0.576285
10.500000,0.592391
11.000000,0.608063
11.500000,0.623317
12.000000,0.638170
12.500000,0.652635
13.000000,0.666726
13.500000,0.680455
14.000000,0.693836
14.500000,0.706878
15.000000,0.719593
15.500000,0.731991
16.000000,0.744081
16.500000,0.755873
17.000000,0.767375
17.500000,0.778630
18.000000,0.789737
18.500000,0.800706
19.000000,0.811540
19.500000,0.822244
20.000000,0.832820
20.500000,0.843273
21.000000,0.853606
21.500000,0.863821
22.000000,0.873921
22.500000,0.883909
23.000000,0.893787
23.500000,0.903558
24.000000,0.913224
24.500000,0.922787
25.000000,0.932250
25.500000,0.941614
26.000000,0.950881
26.500000,0.960053
27.000000,0.969131
27.500000,0.978118
28.000000,0.987015
28.500000,0.995824
29.000000,1.004546
29.500000,1.013181
30.000000,1.021733
30.500000,1.030202
31.000000,1.038589
31.500000,1.046896
32.000000,1.055124
32.500000,1.063274
33.000000,1.071346
33.500000,1.079349
34.000000,1.087293
34.500000,1.095181
35.000000,1.103013
35.500000,1.110789
36.000000,1.118511
36.500000,1.126178
37.000000,1.133793
37.500000,1.141355
38.000000,1.148865
38.500000,1.156324
39.000000,1.163732
39.500000,1.171090
40.000000,1.178399
40.500000,1.185659
41.000000,1.192871
41.500000,1.200035
42.000000,1.207152
42.500000,1.214222
43.000000,1.221245
43.500000,1.228224
44.000000,1.235157
44.500000,1.242045
45.000000,1.248889
45.500000,1.255689
46.000000,1.262445
46.500000,1.269159
47.000000,1.275830
47.500000,1.282459
48.000000,1.289046
48.500000,1.295592
49.000000,1.302097
49.500000,1.308561
50.000000,1.314985
50.500000,1.321370
51.000000,1.327714
51.500000,1.334020
52.000000,1.340287
52.500000,1.346515
53.000000,1.352706
53.500000,1.358858
54.000000,1.364973
54.500000,1.371051
55.000000,1.377092
55.500000,1.383101
56.000000,1.389084
56.500000,1.395039
57.000000,1.400966
57.500000,1.406868
58.000000,1.412742
58.500000,1.418590
59.000000,1.424413
59.500000,1.430209
60.000000,1.435979
60.500000,1.441724
61.000000,1.447443
61.500000,1.453138
62.000000,1.458807
62.500000,1.464451
63.000000,1.470071
63.500000,1.475667
64.000000,1.481238
64.500000,1.486785
65.000000,1.492308
65.500000,1.497808
66.000000,1.503284
66.500000,1.508736
67.000000,1.514165
67.500000,1.519572
68.000000,1.524955
68.500000,1.530315
69.000000,1.535653
69.500000,1.540968
70.000000,1.546261
70.500000,1.551532
71.000000,1.556780
71.500000,1.562007
72.000000,1.567212
72.500000,1.572396
73.000000,1.577557
73.500000,1.582698
74.000000,1.587817
74.500000,1.592915
75.000000,1.597992
75.500000,1.603049
76.000000,1.608084
76.500000,1.613099
77.000000,1.618094
77.500000,1.623068
78.000000,1.628022
78.500000,1.632956
79.000000,1.637870
79.500000,1.642764
80.000000,1.647638
80.500000,1.652492
81.000000,1.657327
81.500000,1.662143
82.000000,1.666939
82.500000,1.671716
83.000000,1.676474
83.500000,1.681213
84.000000,1.685937
84.500000,1.690647
85.000000,1.695343
85.500000,1.700027
86.000000,1.704697
86.500000,1.709354
87.000000,1.713998
87.500000,1.718629
88.000000,1.723247
88.500000,1.727852
89.000000,1.732445
89.500000,1.737025
90.000000,1.741592
90.500000,1.746147
91.000000,1.750689
91.500000,1.755218
92.000000,1.759736
92.500000,1.764241
93.000000,1.768734
93.500000,1.773214
94.000000,1.777683
94.500000,1.782140
95.000000,1.786584
95.500000,1.791017
96.000000,1.795438
96.500000,1.799847
97.000000,1.804244
97.500000,1.808630
98.000000,1.813004
98.500000,1.817367
99.000000,1.821718
99.500000,1.826058
100.000000,1.830386
100.500000,1.834703
