Flowrate(m^3), Depth(m)
1.000000,0.241900
1.500000,0.294236
2.000000,0.336282
2.500000,0.373889
3.000000,0.408630
3.500000,0.441268
4.000000,0.472240
4.500000,0.501737
5.000000,0.529935
5.500000,0.556994
6.000000,0.583046
6.500000,0.608202
7.000000,0.632541
7.500000,0.656077
8.000000,0.678839
8.500000,0.700781
9.000000,0.721951
9.500000,0.742404
10.000000,0.762186
10.500000,0.781368
11.000000,0.800072
11.500000,0.818338
12.000000,0.836193
12.500000,0.853657
13.000000,0.870750
13.500000,0.887490
14.000000,0.903891
14.500000,0.919970
15.000000,0.935739
15.500000,0.951210
16.000000,0.966378
16.500000,0.981242
17.000000,0.995814
17.500000,1.010103
18.000000,1.024117
18.500000,1.037868
19.000000,1.051418
19.500000,1.064794
20.000000,1.078004
20.500000,1.091065
21.000000,1.103986
21.500000,1.116774
22.000000,1.129435
22.500000,1.141976
23.000000,1.154400
23.500000,1.166712
24.000000,1.178913
24.500000,1.191009
25.000000,1.203002
25.500000,1.214896
26.000000,1.226693
26.500000,1.238396
27.000000,1.250008
27.500000,1.261531
28.000000,1.272970
28.500000,1.284331
29.000000,1.295617
29.500000,1.306828
30.000000,1.317968
30.500000,1.329038
31.000000,1.340039
31.500000,1.350973
32.000000,1.361841
32.500000,1.372644
33.000000,1.383378
33.500000,1.394021
34.000000,1.404583
34.500000,1.415068
35.000000,1.425473
35.500000,1.435797
36.000000,1.446041
36.500000,1.456206
37.000000,1.466293
37.500000,1.476304
38.000000,1.486239
38.500000,1.496100
39.000000,1.505887
39.500000,1.515602
40.000000,1.525245
40.500000,1.534818
41.000000,1.544322
41.500000,1.553756
42.000000,1.563123
42.500000,1.572422
43.000000,1.581653
43.500000,1.590818
44.000000,1.599916
44.500000,1.608947
45.000000,1.617915
45.500000,1.626818
46.000000,1.635658
46.500000,1.644437
47.000000,1.653154
47.500000,1.661812
48.000000,1.670409
48.500000,1.678948
49.000000,1.687434
49.500000,1.695879
50.000000,1.704287
50.500000,1.712656
51.000000,1.720989
51.500000,1.729286
52.000000,1.737546
52.500000,1.745772
53.000000,1.753960
53.500000,1.762091
54.000000,1.770160
54.500000,1.778169
55.000000,1.786116
55.500000,1.794004
56.000000,1.801833
56.500000,1.809602
57.000000,1.817313
57.500000,1.824966
58.000000,1.832562
58.500000,1.840100
59.000000,1.847582
59.500000,1.855006
60.000000,1.862372
60.500000,1.869682
61.000000,1.876936
61.500000,1.884134
62.000000,1.891277
62.500000,1.898363
63.000000,1.905395
63.500000,1.912371
64.000000,1.919293
64.500000,1.926161
65.000000,1.932976
65.500000,1.939737
66.000000,1.946445
66.500000,1.953101
67.000000,1.959704
67.500000,1.966256
68.000000,1.972756
68.500000,1.979204
69.000000,1.985601
69.500000,1.991954
70.000000,1.998267
70.500000,2.004540
71.000000,2.010774
71.500000,2.016968
72.000000,2.023124
72.500000,2.029240
73.000000,2.035318
73.500000,2.041356
74.000000,2.047356
74.500000,2.053318
75.000000,2.059242
75.500000,2.065127
76.000000,2.070974
76.500000,2.076791
77.000000,2.082588
77.500000,2.088365
78.000000,2.094124
78.500000,2.099865
79.000000,2.105588
79.500000,2.111293
80.000000,2.116981
80.500000,2.122652
81.000000,2.128306
81.500000,2.133943
82.000000,2.139563
82.500000,2.145168
83.000000,2.150759
83.500000,2.156335
84.000000,2.161897
84.500000,2.167444
85.000000,2.172977
85.500000,2.178496
86.000000,2.184001
86.500000,2.189491
87.000000,2.194968
87.500000,2.200430
88.000000,2.205879
88.500000,2.211314
89.000000,2.216735
89.500000,2.222142
90.000000,2.227535
90.500000,2.232915
91.000000,2.238280
91.500000,2.243632
92.000000,2.248970
92.500000,2.254295
93.000000,2.259606
93.500000,2.264904
94.000000,2.270190
94.500000,2.275465
95.000000,2.280727
95.500000,2.285977
96.000000,2.291214
96.500000,2.296433
97.000000,2.301631
97.500000,2.306808
98.000000,2.311964
98.500000,2.317100
99.000000,2.322216
99.500000,2.327310
100.000000,2.332384
100.500000,2.337436
