Flowrate(m^3), Depth(m)
8.000000,0.531860
12.000000,0.664065
16.000000,0.768557
20.000000,0.856898
24.000000,0.937225
28.000000,1.010983
32.000000,1.079161
36.000000,1.143088
40.000000,1.203649
44.000000,1.261194
48.000000,1.316003
52.000000,1.368304
56.000000,1.418467
60.000000,1.466944
64.000000,1.513859
68.000000,1.559313
72.000000,1.603395
76.000000,1.646181
80.000000,1.687742
84.000000,1.728244
88.000000,1.767791
92.000000,1.806426
96.000000,1.844187
100.000000,1.881111
104.000000,1.917229
108.000000,1.952572
112.000000,1.987167
116.000000,2.021095
120.000000,2.054419
124.000000,2.087158
128.000000,2.119329
132.000000,2.150951
136.000000,2.182037
140.000000,2.212604
144.000000,2.242664
148.000000,2.272232
152.000000,2.301326
156.000000,2.330015
160.000000,2.358321
164.000000,2.386253
168.000000,2.413821
172.000000,2.441031
176.000000,2.467893
180.000000,2.494412
184.000000,2.520598
188.000000,2.546456
192.000000,2.571993
196.000000,2.597216
200.000000,2.622158
204.000000,2.646841
208.000000,2.671268
212.000000,2.695446
216.000000,2.719379
220.000000,2.743070
224.000000,2.766524
228.000000,2.789746
232.000000,2.812738
236.000000,2.835505
240.000000,2.858050
244.000000,2.880377
248.000000,2.902489
252.000000,2.924412
256.000000,2.946161
260.000000,2.967736
264.000000,2.989142
268.000000,3.010381
272.000000,3.031455
276.000000,3.052367
280.000000,3.073119
284.000000,3.093713
288.000000,3.114151
292.000000,3.134436
296.000000,3.154569
300.000000,3.174553
304.000000,3.194389
308.000000,3.214081
312.000000,3.233640
316.000000,3.253070
320.000000,3.272373
324.000000,3.291549
328.000000,3.310600
332.000000,3.329528
336.000000,3.348334
340.000000,3.367019
344.000000,3.385586
348.000000,3.404034
352.000000,3.422366
356.000000,3.440583
360.000000,3.458685
364.000000,3.476675
368.000000,3.494553
372.000000,3.512321
376.000000,3.529990
380.000000,3.547567
384.000000,3.565052
388.000000,3.582447
392.000000,3.599753
396.000000,3.616970
400.000000,3.634099
404.000000,3.651142
408.000000,3.668099
412.000000,3.684971
416.000000,3.701759
420.000000,3.718464
424.000000,3.735085
428.000000,3.751625
432.000000,3.768084
436.000000,3.784462
440.000000,3.800761
444.000000,3.816981
448.000000,3.833132
452.000000,3.849219
456.000000,3.865243
460.000000,3.881204
464.000000,3.897105
468.000000,3.912944
472.000000,3.928722
476.000000,3.944441
480.000000,3.960101
484.000000,3.975701
488.000000,3.991244
492.000000,4.006729
496.000000,4.022157
500.000000,4.037528
504.000000,4.052842
508.000000,4.068101
512.000000,4.083305
516.000000,4.098454
520.000000,4.113549
524.000000,4.128591
528.000000,4.143585
532.000000,4.158533
536.000000,4.173435
540.000000,4.188292
544.000000,4.203104
548.000000,4.217871
552.000000,4.232595
556.000000,4.247274
560.000000,4.261911
564.000000,4.276504
568.000000,4.291054
572.000000,4.305563
576.000000,4.320029
580.000000,4.334453
584.000000,4.348836
588.000000,4.363179
592.000000,4.377480
596.000000,4.391741
600.000000,4.405962
604.000000,4.420143
608.000000,4.434282
612.000000,4.448376
616.000000,4.462423
620.000000,4.476424
624.000000,4.490379
628.000000,4.504288
632.000000,4.518151
636.000000,4.531969
640.000000,4.545741
644.000000,4.559468
648.000000,4.573149
652.000000,4.586786
656.000000,4.600379
660.000000,4.613927
664.000000,4.627431
668.000000,4.640891
672.000000,4.654307
676.000000,4.667680
680.000000,4.681009
684.000000,4.694295
688.000000,4.707538
692.000000,4.720738
696.000000,4.733895
700.000000,4.747005
704.000000,4.760068
708.000000,4.773082
712.000000,4.786048
716.000000,4.798965
720.000000,4.811835
724.000000,4.824657
728.000000,4.837431
732.000000,4.850158
736.000000,4.862837
740.000000,4.875470
744.000000,4.888055
748.000000,4.900594
752.000000,4.913086
756.000000,4.925531
760.000000,4.937930
764.000000,4.950284
768.000000,4.962591
772.000000,4.974853
776.000000,4.987069
780.000000,4.999240
784.000000,5.011366
788.000000,5.023446
792.000000,5.035482
796.000000,5.047475
800.000000,5.059427
804.000000,5.071338
