Flowrate(m^3), Depth(m)
1.000000,0.137545
1.500000,0.175679
2.000000,0.208777
2.500000,0.238574
3.000000,0.265956
3.500000,0.291451
4.000000,0.315402
4.500000,0.338048
5.000000,0.359566
5.500000,0.380085
6.000000,0.399707
6.500000,0.418510
7.000000,0.436558
7.500000,0.453903
8.000000,0.470585
8.500000,0.486713
9.000000,0.502411
9.500000,0.517698
10.000000,0.532591
10.500000,0.547104
11.000000,0.561253
11.500000,0.575049
12.000000,0.588504
12.500000,0.601630
13.000000,0.614437
13.500000,0.626936
14.000000,0.639135
14.500000,0.651043
15.000000,0.662669
15.500000,0.674021
16.000000,0.685106
16.500000,0.695933
17.000000,0.706507
17.500000,0.716836
18.000000,0.726927
18.500000,0.736785
19.000000,0.746417
19.500000,0.755828
20.000000,0.765024
20.500000,0.774015
21.000000,0.782879
21.500000,0.791647
22.000000,0.800323
22.500000,0.808909
23.000000,0.817407
23.500000,0.825819
24.000000,0.834146
24.500000,0.842390
25.000000,0.850554
25.500000,0.858638
26.000000,0.866645
26.500000,0.874575
27.000000,0.882430
27.500000,0.890212
28.000000,0.897922
28.500000,0.905560
29.000000,0.913129
29.500000,0.920630
30.000000,0.928063
30.500000,0.935429
31.000000,0.942731
31.500000,0.949967
32.000000,0.957141
32.500000,0.964252
33.000000,0.971301
33.500000,0.978290
34.000000,0.985219
34.500000,0.992089
35.000000,0.998901
35.500000,1.005655
36.000000,1.012353
36.500000,1.018995
37.000000,1.025581
37.500000,1.032113
38.000000,1.038591
38.500000,1.045016
39.000000,1.051388
39.500000,1.057708
40.000000,1.063977
40.500000,1.070195
41.000000,1.076364
41.500000,1.082496
42.000000,1.088591
42.500000,1.094652
43.000000,1.100676
43.500000,1.106667
44.000000,1.112623
44.500000,1.118544
45.000000,1.124433
45.500000,1.130288
46.000000,1.136109
46.500000,1.141899
47.000000,1.147656
47.500000,1.153381
48.000000,1.159074
48.500000,1.164737
49.000000,1.170368
49.500000,1.175968
50.000000,1.181538
50.500000,1.187077
51.000000,1.192587
51.500000,1.198067
52.000000,1.203518
52.500000,1.208939
53.000000,1.214332
53.500000,1.219696
54.000000,1.225031
54.500000,1.230339
55.000000,1.235618
55.500000,1.240870
56.000000,1.246095
56.500000,1.251292
57.000000,1.256462
57.500000,1.261605
58.000000,1.266722
58.500000,1.271812
59.000000,1.276877
59.500000,1.281915
60.000000,1.286927
60.500000,1.291914
61.000000,1.296876
61.500000,1.301812
62.000000,1.306724
62.500000,1.311610
63.000000,1.316472
63.500000,1.321309
64.000000,1.326123
64.500000,1.330912
65.000000,1.335677
65.500000,1.340418
66.000000,1.345135
66.500000,1.349830
67.000000,1.354501
67.500000,1.359148
68.000000,1.363773
68.500000,1.368375
69.000000,1.372954
69.500000,1.377511
70.000000,1.382050
70.500000,1.386573
71.000000,1.391081
71.500000,1.395573
72.000000,1.400050
72.500000,1.404511
73.000000,1.408958
73.500000,1.413389
74.000000,1.417805
74.500000,1.422207
75.000000,1.426593
75.500000,1.430965
76.000000,1.435322
76.500000,1.439665
77.000000,1.443994
77.500000,1.448308
78.000000,1.452608
78.500000,1.456893
79.000000,1.461165
79.500000,1.465423
80.000000,1.469667
80.500000,1.473897
81.000000,1.478113
81.500000,1.482316
82.000000,1.486505
82.500000,1.490681
83.000000,1.494843
83.500000,1.498992
84.000000,1.503128
84.500000,1.507250
85.000000,1.511360
85.500000,1.515456
86.000000,1.519540
86.500000,1.523610
87.000000,1.527668
87.500000,1.531713
88.000000,1.535746
88.500000,1.539766
89.000000,1.543773
89.500000,1.547768
90.000000,1.551750
90.500000,1.555720
91.000000,1.559678
91.500000,1.563623
92.000000,1.567557
92.500000,1.571478
93.000000,1.575387
93.500000,1.579285
94.000000,1.583170
94.500000,1.587044
95.000000,1.590905
95.500000,1.594755
96.000000,1.598594
96.500000,1.602421
97.000000,1.606236
97.500000,1.610039
98.000000,1.613832
98.500000,1.617612
99.000000,1.621382
99.500000,1.625140
100.000000,1.628887
100.500000,1.632623
