Flowrate(m^3), Depth(m)
18.000000,0.474988
27.000000,0.597812
36.000000,0.698348
45.000000,0.781537
54.000000,0.854990
63.000000,0.922579
72.000000,0.985115
81.000000,1.043192
90.000000,1.097378
99.000000,1.148783
108.000000,1.197785
117.000000,1.244566
126.000000,1.289277
135.000000,1.332050
144.000000,1.372999
153.000000,1.412410
162.000000,1.450633
171.000000,1.487729
180.000000,1.523752
189.000000,1.558748
198.000000,1.592761
207.000000,1.625829
216.000000,1.657988
225.000000,1.689277
234.000000,1.719851
243.000000,1.749782
252.000000,1.779089
261.000000,1.807794
270.000000,1.835913
279.000000,1.863463
288.000000,1.890461
297.000000,1.916922
306.000000,1.942860
315.000000,1.968288
324.000000,1.993225
333.000000,2.017762
342.000000,2.041930
351.000000,2.065740
360.000000,2.089198
369.000000,2.112314
378.000000,2.135093
387.000000,2.157544
396.000000,2.179673
405.000000,2.201486
414.000000,2.222991
423.000000,2.244192
432.000000,2.265097
441.000000,2.285710
450.000000,2.306067
459.000000,2.326227
468.000000,2.346196
477.000000,2.365976
486.000000,2.385573
495.000000,2.404989
504.000000,2.424228
513.000000,2.443293
522.000000,2.462187
531.000000,2.480912
540.000000,2.499472
549.000000,2.517869
558.000000,2.536107
567.000000,2.554186
576.000000,2.572111
585.000000,2.589882
594.000000,2.607508
603.000000,2.624998
612.000000,2.642355
621.000000,2.659582
630.000000,2.676679
639.000000,2.693649
648.000000,2.710493
657.000000,2.727214
666.000000,2.743811
675.000000,2.760288
684.000000,2.776646
693.000000,2.792885
702.000000,2.809008
711.000000,2.825016
720.000000,2.840910
729.000000,2.856691
738.000000,2.872362
747.000000,2.887922
756.000000,2.903373
765.000000,2.918711
774.000000,2.933937
783.000000,2.949052
792.000000,2.964056
801.000000,2.978951
810.000000,2.993738
819.000000,3.008418
828.000000,3.022992
837.000000,3.037461
846.000000,3.051826
855.000000,3.066087
864.000000,3.080247
873.000000,3.094305
882.000000,3.108263
891.000000,3.122122
900.000000,3.135882
909.000000,3.149545
918.000000,3.163111
927.000000,3.176582
936.000000,3.189957
945.000000,3.203239
954.000000,3.216441
963.000000,3.229574
972.000000,3.242640
981.000000,3.255638
990.000000,3.268571
999.000000,3.281437
1008.000000,3.294238
1017.000000,3.306974
1026.000000,3.319646
1035.000000,3.332254
1044.000000,3.344799
1053.000000,3.357281
1062.000000,3.369701
1071.000000,3.382059
1080.000000,3.394356
1089.000000,3.406591
1098.000000,3.418767
1107.000000,3.430883
1116.000000,3.442939
1125.000000,3.454936
1134.000000,3.466875
1143.000000,3.478756
1152.000000,3.490579
1161.000000,3.502345
1170.000000,3.514055
1179.000000,3.525714
1188.000000,3.537325
1197.000000,3.548886
1206.000000,3.560399
1215.000000,3.571863
1224.000000,3.583279
1233.000000,3.594647
1242.000000,3.605968
1251.000000,3.617242
1260.000000,3.628470
1269.000000,3.639651
1278.000000,3.650785
1287.000000,3.661874
1296.000000,3.672918
1305.000000,3.683916
1314.000000,3.694869
1323.000000,3.705777
1332.000000,3.716642
1341.000000,3.727462
1350.000000,3.738238
1359.000000,3.748971
1368.000000,3.759661
1377.000000,3.770307
1386.000000,3.780911
1395.000000,3.791473
1404.000000,3.801992
1413.000000,3.812469
1422.000000,3.822906
1431.000000,3.833304
1440.000000,3.843663
1449.000000,3.853983
1458.000000,3.864265
1467.000000,3.874508
1476.000000,3.884714
1485.000000,3.894882
1494.000000,3.905012
1503.000000,3.915105
1512.000000,3.925160
1521.000000,3.935179
1530.000000,3.945161
1539.000000,3.955106
1548.000000,3.965015
1557.000000,3.974888
1566.000000,3.984725
1575.000000,3.994526
1584.000000,4.004291
1593.000000,4.014021
1602.000000,4.023716
1611.000000,4.033376
1620.000000,4.043001
1629.000000,4.052591
1638.000000,4.062147
1647.000000,4.071668
1656.000000,4.081156
1665.000000,4.090609
1674.000000,4.100029
1683.000000,4.109415
1692.000000,4.118768
1701.000000,4.128096
1710.000000,4.137402
1719.000000,4.146685
1728.000000,4.155947
1737.000000,4.165188
1746.000000,4.174406
1755.000000,4.183604
1764.000000,4.192780
1773.000000,4.201934
1782.000000,4.211068
1791.000000,4.220181
1800.000000,4.229273
1809.000000,4.238345
