Flowrate(m^3), Depth(m)
10.000000,0.970688
15.000000,1.166499
20.000000,1.329077
25.000000,1.470368
30.000000,1.596641
35.000000,1.711470
40.000000,1.817213
45.000000,1.915728
50.000000,2.008296
55.000000,2.095782
60.000000,2.178862
65.000000,2.258128
70.000000,2.334023
75.000000,2.406857
80.000000,2.476857
85.000000,2.544210
90.000000,2.609103
95.000000,2.671752
100.000000,2.732365
105.000000,2.791158
110.000000,2.848281
115.000000,2.903786
120.000000,2.957821
125.000000,3.010504
130.000000,3.061910
135.000000,3.112105
140.000000,3.161142
145.000000,3.209103
150.000000,3.256091
155.000000,3.302156
160.000000,3.347345
165.000000,3.391705
170.000000,3.435280
175.000000,3.478098
180.000000,3.520188
185.000000,3.561594
190.000000,3.602358
195.000000,3.642505
200.000000,3.682060
205.000000,3.721071
210.000000,3.759569
215.000000,3.797605
220.000000,3.835197
225.000000,3.872347
230.000000,3.909080
235.000000,3.945439
240.000000,3.981439
245.000000,4.017078
250.000000,4.052349
255.000000,4.087263
260.000000,4.121827
265.000000,4.156056
270.000000,4.189957
275.000000,4.223540
280.000000,4.256812
285.000000,4.289777
290.000000,4.322440
295.000000,4.354804
300.000000,4.386877
305.000000,4.418663
310.000000,4.450169
315.000000,4.481398
320.000000,4.512361
325.000000,4.543068
330.000000,4.573524
335.000000,4.603721
340.000000,4.633655
345.000000,4.663331
350.000000,4.692762
355.000000,4.721952
360.000000,4.750906
365.000000,4.779624
370.000000,4.808109
375.000000,4.836365
380.000000,4.864396
385.000000,4.892214
390.000000,4.919826
395.000000,4.947233
400.000000,4.974433
405.000000,5.001427
410.000000,5.028219
415.000000,5.054814
420.000000,5.081218
425.000000,5.107438
430.000000,5.133476
435.000000,5.159334
440.000000,5.185016
445.000000,5.210525
450.000000,5.235855
455.000000,5.261004
460.000000,5.285985
465.000000,5.310803
470.000000,5.335457
475.000000,5.359951
480.000000,5.384283
485.000000,5.408456
490.000000,5.432472
495.000000,5.456331
500.000000,5.480036
505.000000,5.503585
510.000000,5.526980
515.000000,5.550228
520.000000,5.573338
525.000000,5.596308
530.000000,5.619137
535.000000,5.641826
540.000000,5.664376
545.000000,5.686788
550.000000,5.709062
555.000000,5.731200
560.000000,5.753203
565.000000,5.775071
570.000000,5.796807
575.000000,5.818411
580.000000,5.839884
585.000000,5.861226
590.000000,5.882440
595.000000,5.903529
600.000000,5.924493
605.000000,5.945341
610.000000,5.966082
615.000000,5.986716
620.000000,6.007246
625.000000,6.027672
630.000000,6.047995
635.000000,6.068217
640.000000,6.088337
645.000000,6.108356
650.000000,6.128275
655.000000,6.148095
660.000000,6.167817
665.000000,6.187440
670.000000,6.206970
675.000000,6.226408
680.000000,6.245755
685.000000,6.265010
690.000000,6.284171
695.000000,6.303239
700.000000,6.322214
705.000000,6.341094
710.000000,6.359882
715.000000,6.378578
720.000000,6.397181
725.000000,6.415694
730.000000,6.434116
735.000000,6.452448
740.000000,6.470690
745.000000,6.488844
750.000000,6.506910
755.000000,6.524885
760.000000,6.542770
765.000000,6.560566
770.000000,6.578274
775.000000,6.595895
780.000000,6.613432
785.000000,6.630888
790.000000,6.648262
795.000000,6.665555
800.000000,6.682768
805.000000,6.699900
810.000000,6.716952
815.000000,6.733924
820.000000,6.750817
825.000000,6.767627
830.000000,6.784354
835.000000,6.801000
840.000000,6.817562
845.000000,6.834042
850.000000,6.850439
855.000000,6.866755
860.000000,6.882989
865.000000,6.899143
870.000000,6.915219
875.000000,6.931220
880.000000,6.947145
885.000000,6.962997
890.000000,6.978774
895.000000,6.994478
900.000000,7.010111
905.000000,7.025671
910.000000,7.041159
915.000000,7.056577
920.000000,7.071923
925.000000,7.087199
930.000000,7.102405
935.000000,7.117541
940.000000,7.132609
945.000000,7.147611
950.000000,7.162547
955.000000,7.177417
960.000000,7.192224
965.000000,7.206969
970.000000,7.221649
975.000000,7.236264
980.000000,7.250813
985.000000,7.265299
990.000000,7.279721
995.000000,7.294081
1000.000000,7.308379
1005.000000,7.322617
