Flowrate(m^3), Depth(m)
3.000000,0.233833
4.500000,0.297400
6.000000,0.352524
7.500000,0.402005
9.000000,0.447279
10.500000,0.489211
12.000000,0.528450
13.500000,0.565318
15.000000,0.600044
16.500000,0.632809
18.000000,0.663767
19.500000,0.693049
21.000000,0.720768
22.500000,0.747025
24.000000,0.771912
25.500000,0.795829
27.000000,0.819109
28.500000,0.841788
30.000000,0.863897
31.500000,0.885465
33.000000,0.906516
34.500000,0.927073
36.000000,0.947156
37.500000,0.966785
39.000000,0.985975
40.500000,1.004743
42.000000,1.023103
43.500000,1.041067
45.000000,1.058649
46.500000,1.075861
48.000000,1.092771
49.500000,1.109420
51.000000,1.125816
52.500000,1.141965
54.000000,1.157874
55.500000,1.173549
57.000000,1.188995
58.500000,1.204218
60.000000,1.219224
61.500000,1.234016
63.000000,1.248600
64.500000,1.262980
66.000000,1.277160
67.500000,1.291144
69.000000,1.304937
70.500000,1.318541
72.000000,1.331960
73.500000,1.345198
75.000000,1.358258
76.500000,1.371143
78.000000,1.383864
79.500000,1.396458
81.000000,1.408933
82.500000,1.421291
84.000000,1.433533
85.500000,1.445663
87.000000,1.457680
88.500000,1.469588
90.000000,1.481388
91.500000,1.493082
93.000000,1.504670
94.500000,1.516156
96.000000,1.527539
97.500000,1.538822
99.000000,1.550007
100.500000,1.561093
102.000000,1.572083
103.500000,1.582978
105.000000,1.593779
106.500000,1.604488
108.000000,1.615105
109.500000,1.625631
111.000000,1.636068
112.500000,1.646417
114.000000,1.656679
115.500000,1.666855
117.000000,1.676945
118.500000,1.686956
120.000000,1.696901
121.500000,1.706785
123.000000,1.716607
124.500000,1.726369
126.000000,1.736071
127.500000,1.745713
129.000000,1.755297
130.500000,1.764823
132.000000,1.774291
133.500000,1.783702
135.000000,1.793058
136.500000,1.802357
138.000000,1.811602
139.500000,1.820792
141.000000,1.829928
142.500000,1.839011
144.000000,1.848040
145.500000,1.857017
147.000000,1.865942
148.500000,1.874816
150.000000,1.883638
151.500000,1.892410
153.000000,1.901132
154.500000,1.909804
156.000000,1.918427
157.500000,1.927000
159.000000,1.935526
160.500000,1.944003
162.000000,1.952433
163.500000,1.960815
165.000000,1.969150
166.500000,1.977439
168.000000,1.985682
169.500000,1.993883
171.000000,2.002047
172.500000,2.010173
174.000000,2.018263
175.500000,2.026315
177.000000,2.034332
178.500000,2.042312
180.000000,2.050256
181.500000,2.058164
183.000000,2.066037
184.500000,2.073875
186.000000,2.081678
187.500000,2.089446
189.000000,2.097180
190.500000,2.104880
192.000000,2.112546
193.500000,2.120178
195.000000,2.127777
196.500000,2.135343
198.000000,2.142875
199.500000,2.150375
201.000000,2.157842
202.500000,2.165277
204.000000,2.172679
205.500000,2.180050
207.000000,2.187389
208.500000,2.194696
210.000000,2.201972
211.500000,2.209217
213.000000,2.216431
214.500000,2.223614
216.000000,2.230766
217.500000,2.237888
219.000000,2.244980
220.500000,2.252042
222.000000,2.259073
223.500000,2.266076
225.000000,2.273048
226.500000,2.279991
228.000000,2.286905
229.500000,2.293791
231.000000,2.300654
232.500000,2.307493
234.000000,2.314310
235.500000,2.321105
237.000000,2.327876
238.500000,2.334626
240.000000,2.341353
241.500000,2.348058
243.000000,2.354741
244.500000,2.361403
246.000000,2.368042
247.500000,2.374660
249.000000,2.381257
250.500000,2.387832
252.000000,2.394385
253.500000,2.400918
255.000000,2.407429
256.500000,2.413920
258.000000,2.420390
259.500000,2.426839
261.000000,2.433267
262.500000,2.439675
264.000000,2.446062
265.500000,2.452429
267.000000,2.458776
268.500000,2.465103
270.000000,2.471409
271.500000,2.477696
273.000000,2.483963
274.500000,2.490210
276.000000,2.496437
277.500000,2.502645
279.000000,2.508834
280.500000,2.515003
282.000000,2.521152
283.500000,2.527283
285.000000,2.533394
286.500000,2.539486
288.000000,2.545560
289.500000,2.551614
291.000000,2.557650
292.500000,2.563667
294.000000,2.569665
295.500000,2.575645
297.000000,2.581606
298.500000,2.587549
300.000000,2.593474
301.500000,2.599382
