Flowrate(m^3), Depth(m)
2.000000,0.217963
3.000000,0.279683
4.000000,0.332775
5.000000,0.380072
6.000000,0.423055
7.000000,0.462589
8.000000,0.499380
9.000000,0.534010
10.000000,0.566693
11.000000,0.597600
12.000000,0.626872
13.000000,0.654626
14.000000,0.680965
15.000000,0.705980
16.000000,0.729749
17.000000,0.752348
18.000000,0.773847
19.000000,0.794628
20.000000,0.814916
21.000000,0.834737
22.000000,0.854114
23.000000,0.873068
24.000000,0.891617
25.000000,0.909778
26.000000,0.927567
27.000000,0.944998
28.000000,0.962083
29.000000,0.978834
30.000000,0.995262
31.000000,1.011377
32.000000,1.027189
33.000000,1.042706
34.000000,1.057936
35.000000,1.072888
36.000000,1.087601
37.000000,1.102120
38.000000,1.116450
39.000000,1.130596
40.000000,1.144562
41.000000,1.158352
42.000000,1.171971
43.000000,1.185423
44.000000,1.198710
45.000000,1.211836
46.000000,1.224805
47.000000,1.237620
48.000000,1.250283
49.000000,1.262798
50.000000,1.275167
51.000000,1.287392
52.000000,1.299477
53.000000,1.311423
54.000000,1.323233
55.000000,1.334909
56.000000,1.346454
57.000000,1.357868
58.000000,1.369155
59.000000,1.380317
60.000000,1.391380
61.000000,1.402353
62.000000,1.413238
63.000000,1.424037
64.000000,1.434751
65.000000,1.445380
66.000000,1.455927
67.000000,1.466392
68.000000,1.476777
69.000000,1.487082
70.000000,1.497308
71.000000,1.507457
72.000000,1.517530
73.000000,1.527527
74.000000,1.537449
75.000000,1.547297
76.000000,1.557072
77.000000,1.566775
78.000000,1.576407
79.000000,1.585968
80.000000,1.595460
81.000000,1.604882
82.000000,1.614236
83.000000,1.623522
84.000000,1.632741
85.000000,1.641894
86.000000,1.650981
87.000000,1.660003
88.000000,1.668960
89.000000,1.677854
90.000000,1.686687
91.000000,1.695469
92.000000,1.704204
93.000000,1.712891
94.000000,1.721530
95.000000,1.730123
96.000000,1.738670
97.000000,1.747170
98.000000,1.755625
99.000000,1.764035
100.000000,1.772400
101.000000,1.780720
102.000000,1.788996
103.000000,1.797229
104.000000,1.805418
105.000000,1.813565
106.000000,1.821668
107.000000,1.829729
108.000000,1.837749
109.000000,1.845726
110.000000,1.853662
111.000000,1.861557
112.000000,1.869411
113.000000,1.877224
114.000000,1.884998
115.000000,1.892731
116.000000,1.900424
117.000000,1.908078
118.000000,1.915693
119.000000,1.923269
120.000000,1.930806
121.000000,1.938305
122.000000,1.945766
123.000000,1.953188
124.000000,1.960573
125.000000,1.967921
126.000000,1.975231
127.000000,1.982504
128.000000,1.989741
129.000000,1.996948
130.000000,2.004128
131.000000,2.011279
132.000000,2.018403
133.000000,2.025498
134.000000,2.032566
135.000000,2.039607
136.000000,2.046621
137.000000,2.053607
138.000000,2.060566
139.000000,2.067499
140.000000,2.074405
141.000000,2.081285
142.000000,2.088138
143.000000,2.094965
144.000000,2.101766
145.000000,2.108541
146.000000,2.115290
147.000000,2.122013
148.000000,2.128711
149.000000,2.135383
150.000000,2.142031
151.000000,2.148653
152.000000,2.155250
153.000000,2.161822
154.000000,2.168369
155.000000,2.174891
156.000000,2.181389
157.000000,2.187863
158.000000,2.194312
159.000000,2.200736
160.000000,2.207137
161.000000,2.213514
162.000000,2.219866
163.000000,2.226195
164.000000,2.232500
165.000000,2.238781
166.000000,2.245039
167.000000,2.251274
168.000000,2.257484
169.000000,2.263672
170.000000,2.269837
171.000000,2.275978
172.000000,2.282097
173.000000,2.288192
174.000000,2.294266
175.000000,2.300320
176.000000,2.306357
177.000000,2.312376
178.000000,2.318376
179.000000,2.324359
180.000000,2.330324
181.000000,2.336272
182.000000,2.342201
183.000000,2.348113
184.000000,2.354008
185.000000,2.359885
186.000000,2.365745
187.000000,2.371587
188.000000,2.377412
189.000000,2.383220
190.000000,2.389010
191.000000,2.394784
192.000000,2.400540
193.000000,2.406280
194.000000,2.412002
195.000000,2.417708
196.000000,2.423397
197.000000,2.429069
198.000000,2.434725
199.000000,2.440363
200.000000,2.445986
201.000000,2.451591
