Flowrate(m^3), Depth(m)
1.000000,0.157866
1.500000,0.197389
2.000000,0.232765
2.500000,0.265095
3.000000,0.294992
3.500000,0.322854
4.000000,0.348955
4.500000,0.373500
5.000000,0.396638
5.500000,0.418482
6.000000,0.439117
6.500000,0.458611
7.000000,0.477010
7.500000,0.494585
8.000000,0.511637
8.500000,0.528186
9.000000,0.544252
9.500000,0.559851
10.000000,0.575000
10.500000,0.589713
11.000000,0.604005
11.500000,0.617890
12.000000,0.631381
12.500000,0.644489
13.000000,0.657227
13.500000,0.669607
14.000000,0.681639
14.500000,0.693334
15.000000,0.704701
15.500000,0.715751
16.000000,0.726493
16.500000,0.736936
17.000000,0.747088
17.500000,0.756959
18.000000,0.766555
18.500000,0.775888
19.000000,0.785060
19.500000,0.794122
20.000000,0.803079
20.500000,0.811932
21.000000,0.820684
21.500000,0.829337
22.000000,0.837892
22.500000,0.846353
23.000000,0.854721
23.500000,0.862998
24.000000,0.871186
24.500000,0.879286
25.000000,0.887300
25.500000,0.895229
26.000000,0.903076
26.500000,0.910841
27.000000,0.918525
27.500000,0.926131
28.000000,0.933659
28.500000,0.941111
29.000000,0.948487
29.500000,0.955789
30.000000,0.963018
30.500000,0.970174
31.000000,0.977260
31.500000,0.984276
32.000000,0.991222
32.500000,0.998100
33.000000,1.004911
33.500000,1.011655
34.000000,1.018334
34.500000,1.024948
35.000000,1.031497
35.500000,1.037984
36.000000,1.044407
36.500000,1.050769
37.000000,1.057070
37.500000,1.063311
38.000000,1.069492
38.500000,1.075613
39.000000,1.081688
39.500000,1.087725
40.000000,1.093725
40.500000,1.099688
41.000000,1.105614
41.500000,1.111505
42.000000,1.117360
42.500000,1.123180
43.000000,1.128965
43.500000,1.134716
44.000000,1.140433
44.500000,1.146115
45.000000,1.151764
45.500000,1.157380
46.000000,1.162963
46.500000,1.168514
47.000000,1.174032
47.500000,1.179518
48.000000,1.184972
48.500000,1.190395
49.000000,1.195787
49.500000,1.201148
50.000000,1.206479
50.500000,1.211779
51.000000,1.217049
51.500000,1.222289
52.000000,1.227499
52.500000,1.232680
53.000000,1.237832
53.500000,1.242955
54.000000,1.248049
54.500000,1.253114
55.000000,1.258152
55.500000,1.263161
56.000000,1.268143
56.500000,1.273096
57.000000,1.278023
57.500000,1.282922
58.000000,1.287794
58.500000,1.292639
59.000000,1.297458
59.500000,1.302250
60.000000,1.307016
60.500000,1.311755
61.000000,1.316469
61.500000,1.321157
62.000000,1.325819
62.500000,1.330456
63.000000,1.335068
63.500000,1.339655
64.000000,1.344216
64.500000,1.348753
65.000000,1.353266
65.500000,1.357754
66.000000,1.362217
66.500000,1.366657
67.000000,1.371072
67.500000,1.375464
68.000000,1.379832
68.500000,1.384183
69.000000,1.388517
69.500000,1.392836
70.000000,1.397139
70.500000,1.401425
71.000000,1.405697
71.500000,1.409952
72.000000,1.414192
72.500000,1.418417
73.000000,1.422627
73.500000,1.426821
74.000000,1.431000
74.500000,1.435164
75.000000,1.439313
75.500000,1.443447
76.000000,1.447566
76.500000,1.451671
77.000000,1.455761
77.500000,1.459837
78.000000,1.463898
78.500000,1.467944
79.000000,1.471976
79.500000,1.475995
80.000000,1.479998
80.500000,1.483988
81.000000,1.487964
81.500000,1.491926
82.000000,1.495874
82.500000,1.499808
83.000000,1.503728
83.500000,1.507635
84.000000,1.511528
84.500000,1.515408
85.000000,1.519274
85.500000,1.523126
86.000000,1.526966
86.500000,1.530792
87.000000,1.534605
87.500000,1.538405
88.000000,1.542191
88.500000,1.545965
89.000000,1.549726
89.500000,1.553473
90.000000,1.557208
90.500000,1.560930
91.000000,1.564640
91.500000,1.568337
92.000000,1.572021
92.500000,1.575692
93.000000,1.579351
93.500000,1.582998
94.000000,1.586632
94.500000,1.590254
95.000000,1.593864
95.500000,1.597461
96.000000,1.601046
96.500000,1.604620
97.000000,1.608181
97.500000,1.611730
98.000000,1.615267
98.500000,1.618792
99.000000,1.622305
99.500000,1.625807
100.000000,1.629296
100.500000,1.632774
