Flowrate(m^3), Depth(m)
13.000000,0.645978
19.500000,0.800511
26.000000,0.927980
32.500000,1.040254
39.000000,1.141018
45.500000,1.233590
52.000000,1.319230
58.500000,1.398858
65.000000,1.474095
71.500000,1.545724
78.000000,1.614086
84.500000,1.679463
91.000000,1.742264
97.500000,1.802850
104.000000,1.861371
110.500000,1.917955
117.000000,1.972714
123.500000,2.025816
130.000000,2.077491
136.500000,2.127814
143.000000,2.176848
149.500000,2.224649
156.000000,2.271268
162.500000,2.316794
169.000000,2.361421
175.500000,2.405200
182.000000,2.448163
188.500000,2.490340
195.000000,2.531757
201.500000,2.572439
208.000000,2.612415
214.500000,2.651732
221.000000,2.690412
227.500000,2.728475
234.000000,2.765936
240.500000,2.802812
247.000000,2.839117
253.500000,2.874865
260.000000,2.910077
266.500000,2.944862
273.000000,2.979258
279.500000,3.013275
286.000000,3.046923
292.500000,3.080212
299.000000,3.113149
305.500000,3.145743
312.000000,3.178002
318.500000,3.209933
325.000000,3.241563
331.500000,3.272909
338.000000,3.303975
344.500000,3.334769
351.000000,3.365294
357.500000,3.395557
364.000000,3.425563
370.500000,3.455316
377.000000,3.484820
383.500000,3.514081
390.000000,3.543095
396.500000,3.571863
403.000000,3.600389
409.500000,3.628677
416.000000,3.656730
422.500000,3.684551
429.000000,3.712143
435.500000,3.739510
442.000000,3.766654
448.500000,3.793578
455.000000,3.820284
461.500000,3.846759
468.000000,3.873000
474.500000,3.899011
481.000000,3.924794
487.500000,3.950351
494.000000,3.975685
500.500000,4.000799
507.000000,4.025693
513.500000,4.050372
520.000000,4.074837
526.500000,4.099091
533.000000,4.123136
539.500000,4.147000
546.000000,4.170695
552.500000,4.194221
559.000000,4.217582
565.500000,4.240777
572.000000,4.263809
578.500000,4.286680
585.000000,4.309390
591.500000,4.331942
598.000000,4.354337
604.500000,4.376576
611.000000,4.398661
617.500000,4.420592
624.000000,4.442389
630.500000,4.464072
637.000000,4.485642
643.500000,4.507101
650.000000,4.528449
656.500000,4.549687
663.000000,4.570816
669.500000,4.591838
676.000000,4.612753
682.500000,4.633563
689.000000,4.654267
695.500000,4.674867
702.000000,4.695364
708.500000,4.715758
715.000000,4.736051
721.500000,4.756236
728.000000,4.776314
734.500000,4.796286
741.000000,4.816152
747.500000,4.835913
754.000000,4.855570
760.500000,4.875124
767.000000,4.894575
773.500000,4.913925
780.000000,4.933173
786.500000,4.952320
793.000000,4.971368
799.500000,4.990317
806.000000,5.009167
812.500000,5.027919
819.000000,5.046581
825.500000,5.065170
832.000000,5.083685
838.500000,5.102128
845.000000,5.120498
851.500000,5.138796
858.000000,5.157023
864.500000,5.175179
871.000000,5.193264
877.500000,5.211280
884.000000,5.229226
890.500000,5.247103
897.000000,5.264912
903.500000,5.282652
910.000000,5.300325
916.500000,5.317930
923.000000,5.335468
929.500000,5.352934
936.000000,5.370324
942.500000,5.387637
949.000000,5.404875
955.500000,5.422036
962.000000,5.439123
968.500000,5.456135
975.000000,5.473073
981.500000,5.489936
988.000000,5.506726
994.500000,5.523443
1001.000000,5.540087
1007.500000,5.556659
1014.000000,5.573158
1020.500000,5.589586
1027.000000,5.605943
1033.500000,5.622228
1040.000000,5.638443
1046.500000,5.654600
1053.000000,5.670716
1059.500000,5.686792
1066.000000,5.702830
1072.500000,5.718828
1079.000000,5.734788
1085.500000,5.750709
1092.000000,5.766593
1098.500000,5.782438
1105.000000,5.798246
1111.500000,5.814016
1118.000000,5.829750
1124.500000,5.845446
1131.000000,5.861106
1137.500000,5.876729
1144.000000,5.892316
1150.500000,5.907868
1157.000000,5.923383
1163.500000,5.938863
1170.000000,5.954306
1176.500000,5.969707
1183.000000,5.985065
1189.500000,6.000379
1196.000000,6.015651
1202.500000,6.030880
1209.000000,6.046067
1215.500000,6.061211
1222.000000,6.076314
1228.500000,6.091374
1235.000000,6.106393
1241.500000,6.121370
1248.000000,6.136306
1254.500000,6.151201
1261.000000,6.166054
1267.500000,6.180867
1274.000000,6.195638
1280.500000,6.210369
1287.000000,6.225060
1293.500000,6.239710
1300.000000,6.254320
1306.500000,6.268883
