Flowrate(m^3), Depth(m)
1.000000,1.836682
1.500000,2.196968
2.000000,2.506552
2.500000,2.765208
3.000000,2.980048
3.500000,3.162846
4.000000,3.322579
4.500000,3.467862
5.000000,3.600022
5.500000,3.719338
6.000000,3.826903
6.500000,3.923297
7.000000,4.009197
7.500000,4.085228
8.000000,4.152429
8.500000,4.212323
9.000000,4.265841
9.500000,4.314910
10.000000,4.360090
10.500000,4.402689
11.000000,4.442962
11.500000,4.481433
12.000000,4.519328
12.500000,4.556802
13.000000,4.593851
13.500000,4.630510
14.000000,4.666805
14.500000,4.702729
15.000000,4.738272
15.500000,4.773162
16.000000,4.807229
16.500000,4.840568
17.000000,4.873281
17.500000,4.905346
18.000000,4.936607
18.500000,4.967072
19.000000,4.996765
19.500000,5.025711
20.000000,5.053994
20.500000,5.081827
21.000000,5.109237
21.500000,5.136233
22.000000,5.162826
22.500000,5.189014
23.000000,5.214735
23.500000,5.239981
24.000000,5.264764
24.500000,5.289095
25.000000,5.312986
25.500000,5.336435
26.000000,5.359460
26.500000,5.382153
27.000000,5.404609
27.500000,5.426841
28.000000,5.448855
28.500000,5.470672
29.000000,5.492370
29.500000,5.513964
30.000000,5.535453
30.500000,5.556839
31.000000,5.578123
31.500000,5.599302
32.000000,5.620376
32.500000,5.641345
33.000000,5.662211
33.500000,5.682977
34.000000,5.703642
34.500000,5.724206
35.000000,5.744667
35.500000,5.764981
36.000000,5.785084
36.500000,5.804978
37.000000,5.824666
37.500000,5.844150
38.000000,5.863434
38.500000,5.882538
39.000000,5.901482
39.500000,5.920305
40.000000,5.939018
40.500000,5.957626
41.000000,5.976159
41.500000,5.994619
42.000000,6.013007
42.500000,6.031324
43.000000,6.049568
43.500000,6.067742
44.000000,6.085846
44.500000,6.103881
45.000000,6.121846
45.500000,6.139743
46.000000,6.157570
46.500000,6.175329
47.000000,6.193020
47.500000,6.210648
48.000000,6.228216
48.500000,6.245726
49.000000,6.263189
49.500000,6.280636
50.000000,6.298068
50.500000,6.315485
51.000000,6.332888
51.500000,6.350278
52.000000,6.367645
52.500000,6.384978
53.000000,6.402276
53.500000,6.419540
54.000000,6.436769
54.500000,6.453962
55.000000,6.471118
55.500000,6.488235
56.000000,6.505308
56.500000,6.522314
57.000000,6.539233
57.500000,6.556064
58.000000,6.572808
58.500000,6.589465
59.000000,6.606036
59.500000,6.622521
60.000000,6.638922
60.500000,6.655239
61.000000,6.671476
61.500000,6.687641
62.000000,6.703741
62.500000,6.719774
63.000000,6.735741
63.500000,6.751640
64.000000,6.767472
64.500000,6.783236
65.000000,6.798931
65.500000,6.814556
66.000000,6.830109
66.500000,6.845588
67.000000,6.860991
67.500000,6.876314
68.000000,6.891552
68.500000,6.906674
69.000000,6.921670
69.500000,6.936541
70.000000,6.951286
70.500000,6.965903
71.000000,6.980386
71.500000,6.994721
72.000000,7.008886
72.500000,7.022878
73.000000,7.036695
73.500000,7.050340
74.000000,7.063813
74.500000,7.077116
75.000000,7.090252
75.500000,7.103220
76.000000,7.116021
76.500000,7.128658
77.000000,7.141136
77.500000,7.153456
78.000000,7.165620
78.500000,7.177630
79.000000,7.189486
79.500000,7.201189
80.000000,7.212747
80.500000,7.224161
81.000000,7.235440
81.500000,7.246594
82.000000,7.257645
82.500000,7.268622
83.000000,7.279534
83.500000,7.290376
84.000000,7.301146
84.500000,7.311842
85.000000,7.322461
85.500000,7.333002
86.000000,7.343464
86.500000,7.353844
87.000000,7.364136
87.500000,7.374325
88.000000,7.384401
88.500000,7.394356
89.000000,7.404193
89.500000,7.413912
90.000000,7.423511
90.500000,7.432983
91.000000,7.442328
91.500000,7.451540
92.000000,7.460618
92.500000,7.469548
93.000000,7.478308
93.500000,7.486875
94.000000,7.495247
94.500000,7.503427
95.000000,7.511414
95.500000,7.519222
96.000000,7.526860
96.500000,7.534331
97.000000,7.541652
97.500000,7.548833
98.000000,7.555895
98.500000,7.562876
99.000000,7.569807
99.500000,7.576698
100.000000,7.583553
100.500000,7.590371
